url_id,content_entity_id,raw_url,normalized_url,target_country,language,locale_tag,page_type,template_file,source_file_or_model,discovery_sources,inventory_state,expected_indexability,in_sitemap,sitemap_lastmod,first_published,notes
U003125,service:pt:consulta-dermatologia,https://www.myglobalhealth.online/portugal/ro/services/consulta-dermatologia,https://www.myglobalhealth.online/portugal/ro/services/consulta-dermatologia,Portugal,ro,ro-PT,service,frontend/app/[country]/[lang]/services/[serviceSlug]/page.tsx,,cms|sitemap,canonical_candidate,index,yes,2026-09-14T18:42:37.082Z,,
U003126,service:pt:consulta-do-viajante,https://www.myglobalhealth.online/portugal/ro/services/consulta-do-viajante,https://www.myglobalhealth.online/portugal/ro/services/consulta-do-viajante,Portugal,ro,ro-PT,service,frontend/app/[country]/[lang]/services/[serviceSlug]/page.tsx,,cms|sitemap,canonical_candidate,index,yes,2026-09-14T18:42:37.082Z,,
U003127,service:pt:consulta-medica,https://www.myglobalhealth.online/portugal/ro/services/consulta-medica,https://www.myglobalhealth.online/portugal/ro/services/consulta-medica,Portugal,ro,ro-PT,service,frontend/app/[country]/[lang]/services/[serviceSlug]/page.tsx,,cms|sitemap,canonical_candidate,index,yes,2026-09-14T18:42:37.082Z,,
U003128,service:pt:consulta-queda-de-cabelo,https://www.myglobalhealth.online/portugal/ro/services/consulta-queda-de-cabelo,https://www.myglobalhealth.online/portugal/ro/services/consulta-queda-de-cabelo,Portugal,ro,ro-PT,service,frontend/app/[country]/[lang]/services/[serviceSlug]/page.tsx,,cms|sitemap,canonical_candidate,index,yes,2026-09-14T18:42:37.082Z,,
U003129,service:pt:deixar-de-fumar,https://www.myglobalhealth.online/portugal/ro/services/deixar-de-fumar,https://www.myglobalhealth.online/portugal/ro/services/deixar-de-fumar,Portugal,ro,ro-PT,service,frontend/app/[country]/[lang]/services/[serviceSlug]/page.tsx,,cms|sitemap,canonical_candidate,index,yes,2026-09-14T18:42:37.082Z,,
U003130,service:pt:gestao-da-dor,https://www.myglobalhealth.online/portugal/ro/services/gestao-da-dor,https://www.myglobalhealth.online/portugal/ro/services/gestao-da-dor,Portugal,ro,ro-PT,service,frontend/app/[country]/[lang]/services/[serviceSlug]/page.tsx,,cms|sitemap,canonical_candidate,index,yes,2026-09-14T18:42:37.082Z,,
U003131,service:pt:medicina-geral-e-familiar,https://www.myglobalhealth.online/portugal/ro/services/medicina-geral-e-familiar,https://www.myglobalhealth.online/portugal/ro/services/medicina-geral-e-familiar,Portugal,ro,ro-PT,service,frontend/app/[country]/[lang]/services/[serviceSlug]/page.tsx,,cms|sitemap,canonical_candidate,index,yes,2026-09-14T18:42:37.082Z,,
U003132,service:pt:pediatria-geral,https://www.myglobalhealth.online/portugal/ro/services/pediatria-geral,https://www.myglobalhealth.online/portugal/ro/services/pediatria-geral,Portugal,ro,ro-PT,service,frontend/app/[country]/[lang]/services/[serviceSlug]/page.tsx,,cms|sitemap,canonical_candidate,index,yes,2026-09-14T18:42:37.082Z,,
U003133,service:pt:perda-de-peso,https://www.myglobalhealth.online/portugal/ro/services/perda-de-peso,https://www.myglobalhealth.online/portugal/ro/services/perda-de-peso,Portugal,ro,ro-PT,service,frontend/app/[country]/[lang]/services/[serviceSlug]/page.tsx,,cms|sitemap,canonical_candidate,index,yes,2026-09-14T18:42:37.082Z,,
U003134,service:pt:renovacao-de-tratamento,https://www.myglobalhealth.online/portugal/ro/services/renovacao-de-tratamento,https://www.myglobalhealth.online/portugal/ro/services/renovacao-de-tratamento,Portugal,ro,ro-PT,service,frontend/app/[country]/[lang]/services/[serviceSlug]/page.tsx,,cms|sitemap,canonical_candidate,index,yes,2026-09-14T18:42:37.082Z,,
