query,competing_urls,impressions_W1,clicks_W1,top_url,top_url_market,top_url_locale,top_url_section,best_position,cannibalisation_type,markets_involved,locales_involved,url_detail
calculator calorii slabire,2,22,0,https://www.myglobalhealth.online/romania/ro/tools/calorie-calculator,Romania,ro,tools,15.8,cross_market+wrong_locale,Romania|Spain,ro,https://www.myglobalhealth.online/romania/ro/tools/calorie-calculator [13i/0c/p16] ;; https://www.myglobalhealth.online/spain/ro/tools/calorie-calculator [9i/0c/p22]
doctors,3,22,0,https://www.myglobalhealth.online/romania/en,Romania,en,market_home,16.8,cross_market+wrong_locale,Portugal|Romania,en|pt|ro,https://www.myglobalhealth.online/romania/en [19i/0c/p17] ;; https://www.myglobalhealth.online/portugal/pt [2i/0c/p72] ;; https://www.myglobalhealth.online/romania/ro [1i/0c/p98]
atestados medicos carta condução,2,22,0,https://www.myglobalhealth.online/portugal/pt/blog/atestado-medico-para-carta-de-conducao,Portugal,pt,blog,37.6,no,Portugal,pt,https://www.myglobalhealth.online/portugal/pt/blog/atestado-medico-para-carta-de-conducao [14i/0c/p38] ;; https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao [8i/0c/p64]
atestados carta de condução,2,22,0,https://www.myglobalhealth.online/portugal/pt/blog/atestado-medico-para-carta-de-conducao,Portugal,pt,blog,41.0,no,Portugal,pt,https://www.myglobalhealth.online/portugal/pt/blog/atestado-medico-para-carta-de-conducao [15i/0c/p41] ;; https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao [7i/0c/p67]
cita doctor en línea españa,3,22,0,https://www.myglobalhealth.online/spain/es/gp-consultation-online,Spain,es,gp-consultation-online,15.4,no,Spain,es,https://www.myglobalhealth.online/spain/es/gp-consultation-online [10i/0c/p15] ;; https://www.myglobalhealth.online/spain/es [9i/0c/p52] ;; https://www.myglobalhealth.online/spain/es/services/consulta-medica-online [3i/0c/p35]
medical certificate online,2,22,0,https://www.myglobalhealth.online/ireland/es/health/sick-cert-online,Ireland,es,health,31.3,wrong_locale,Ireland,es,https://www.myglobalhealth.online/ireland/es/health/sick-cert-online [14i/0c/p31] ;; https://www.myglobalhealth.online/ireland/sick-leave [8i/0c/p65]
bmi,2,22,0,https://www.myglobalhealth.online/czechia/cs/tools/bmi-calculator,Czechia,cs,tools,36.1,cross_market,Czechia|Ireland,cs|en,https://www.myglobalhealth.online/czechia/cs/tools/bmi-calculator [17i/0c/p36] ;; https://www.myglobalhealth.online/ireland/en/tools/bmi-calculator [5i/0c/p70]
consulta cardiologia online,2,20,0,https://www.myglobalhealth.online/portugal/en/services/consulta-cardiologia,Portugal,en,services,28.0,wrong_locale,Portugal,en|pt,https://www.myglobalhealth.online/portugal/en/services/consulta-cardiologia [16i/0c/p28] ;; https://www.myglobalhealth.online/portugal/pt [4i/0c/p56]
online doctor spain,2,20,0,https://www.myglobalhealth.online/spain/es,Spain,es,market_home,12.0,wrong_locale,Spain,en|es,https://www.myglobalhealth.online/spain/es [17i/0c/p22] ;; https://www.myglobalhealth.online/spain/en [3i/0c/p12]
atestado médico portugal,2,19,0,https://www.myglobalhealth.online/portugal/pt/blog/atestado-medico-para-carta-de-conducao,Portugal,pt,blog,35.6,no,Portugal,pt,https://www.myglobalhealth.online/portugal/pt/blog/atestado-medico-para-carta-de-conducao [15i/0c/p36] ;; https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao [4i/0c/p36]
tabela de pressão arterial,2,18,0,https://www.myglobalhealth.online/brazil/pt/tools/blood-pressure-chart,Brazil,pt,tools,9.2,cross_market,Brazil|Portugal,pt,https://www.myglobalhealth.online/brazil/pt/tools/blood-pressure-chart [13i/0c/p10] ;; https://www.myglobalhealth.online/portugal/pt/tools/blood-pressure-chart [5i/0c/p9]
online healthy,2,18,0,https://www.myglobalhealth.online/czechia/cs,Czechia,cs,market_home,3.7,cross_market,Czechia|Spain,cs|es,https://www.myglobalhealth.online/czechia/cs [12i/0c/p4] ;; https://www.myglobalhealth.online/spain/es [6i/0c/p10]
calculator calorii necesare,2,18,0,https://www.myglobalhealth.online/romania/ro/tools/calorie-calculator,Romania,ro,tools,23.7,cross_market+wrong_locale,Romania|Spain,ro,https://www.myglobalhealth.online/romania/ro/tools/calorie-calculator [13i/0c/p24] ;; https://www.myglobalhealth.online/spain/ro/tools/calorie-calculator [5i/0c/p37]
consulta medico,3,18,0,https://www.myglobalhealth.online/portugal/es/services/consulta-medica,Portugal,es,services,3.0,cross_market+wrong_locale,Ireland|Portugal,es|pt,https://www.myglobalhealth.online/portugal/es/services/consulta-medica [14i/0c/p65] ;; https://www.myglobalhealth.online/ireland/pt [2i/0c/p3] ;; https://www.myglobalhealth.online/portugal/pt [2i/0c/p56]
consulta de cardiologia online,2,17,0,https://www.myglobalhealth.online/portugal/en/services/consulta-cardiologia,Portugal,en,services,30.3,cross_market+wrong_locale,Portugal|Spain,en|pt,https://www.myglobalhealth.online/portugal/en/services/consulta-cardiologia [16i/0c/p30] ;; https://www.myglobalhealth.online/spain/pt [1i/0c/p69]
telmo coelho,2,17,0,https://www.myglobalhealth.online/portugal/pt/doctors/dr-telmo-coelho,Portugal,pt,doctors,3.9,wrong_locale,Portugal,en|pt,https://www.myglobalhealth.online/portugal/pt/doctors/dr-telmo-coelho [15i/0c/p4] ;; https://www.myglobalhealth.online/portugal/en/doctors/dr-telmo-coelho [2i/0c/p6]
indice masa corporala calculator,2,17,0,https://www.myglobalhealth.online/romania/es/tools/bmi-calculator,Romania,es,tools,34.0,wrong_locale,Romania,es|ro,https://www.myglobalhealth.online/romania/es/tools/bmi-calculator [15i/0c/p76] ;; https://www.myglobalhealth.online/romania/ro/tools/bmi-calculator [2i/0c/p34]
lékař online,3,17,0,https://www.myglobalhealth.online/czechia/cs,Czechia,cs,market_home,28.4,no,Czechia,cs,https://www.myglobalhealth.online/czechia/cs [8i/0c/p28] ;; https://www.myglobalhealth.online/czechia/cs/blog/lekar-online-24-7-co-vyresi [5i/0c/p49] ;; https://www.myglobalhealth.online/czechia/cs/gp-consultation-online [4i/0c/p30]
osteoporosis risk assessment,3,17,0,https://www.myglobalhealth.online/czechia/en/tools/osteoporosis-risk-checker,Czechia,en,tools,70.8,cross_market+wrong_locale,Czechia|Ireland|Spain,en,https://www.myglobalhealth.online/czechia/en/tools/osteoporosis-risk-checker [12i/0c/p76] ;; https://www.myglobalhealth.online/spain/en/tools/osteoporosis-risk-checker [4i/0c/p71] ;; https://www.myglobalhealth.online/ireland/en/tools/osteoporosis-risk-checker [1i/0c/p73]
tehotenska kalkulacka,2,17,0,https://www.myglobalhealth.online/czechia/cs/tools/due-date-calculator,Czechia,cs,tools,25.3,cross_market+wrong_locale,Czechia|Romania,cs,https://www.myglobalhealth.online/czechia/cs/tools/due-date-calculator [14i/0c/p42] ;; https://www.myglobalhealth.online/romania/cs/tools/due-date-calculator [3i/0c/p25]
eneschopenka,2,17,0,https://www.myglobalhealth.online/czechia/cs/blog/neschopenka-jak-funguje-eneschopenka,Czechia,cs,blog,5.5,wrong_locale,Czechia,cs|en,https://www.myglobalhealth.online/czechia/cs/blog/neschopenka-jak-funguje-eneschopenka [15i/0c/p13] ;; https://www.myglobalhealth.online/czechia/en/blog/neschopenka-czech-sick-note-explained [2i/0c/p6]
bmi index,2,17,0,https://www.myglobalhealth.online/czechia/cs/tools/bmi-calculator,Czechia,cs,tools,47.5,cross_market,Czechia|Ireland,cs|en,https://www.myglobalhealth.online/czechia/cs/tools/bmi-calculator [15i/0c/p48] ;; https://www.myglobalhealth.online/ireland/en/tools/bmi-calculator [2i/0c/p69]
help global brazil,5,16,0,https://www.myglobalhealth.online/brazil/en,Brazil,en,market_home,6.0,wrong_locale,Brazil,en|es,https://www.myglobalhealth.online/brazil/en [6i/0c/p12] ;; https://www.myglobalhealth.online/brazil/en/about [5i/0c/p32] ;; https://www.myglobalhealth.online/brazil/en/contact [2i/0c/p53] ;; https://www.myglobalhealth.online/brazil/es/about [2i/0c/p15] ;; https://www.myglobalhealth.online/brazil/en/faq [1i/0c/p6]
home blood tests ireland,2,16,0,https://www.myglobalhealth.online/ireland/en/lab-tests/general-health-test,Ireland,en,lab-tests,23.5,no,Ireland,en,https://www.myglobalhealth.online/ireland/en/lab-tests/general-health-test [11i/0c/p23] ;; https://www.myglobalhealth.online/ireland/en/lab-tests [5i/0c/p41]
psiquiatra online españa,2,16,0,https://www.myglobalhealth.online/spain/en/services/psiquiatra-online,Spain,en,services,72.2,wrong_locale,Spain,en,https://www.myglobalhealth.online/spain/en/services/psiquiatra-online [11i/0c/p72] ;; https://www.myglobalhealth.online/spain/en/services/psicologo-online [5i/0c/p88]
中医在线问诊 – 里斯本,2,16,0,https://www.myglobalhealth.online/portugal/pt,Portugal,pt,market_home,48.3,wrong_locale,Portugal,es|pt,https://www.myglobalhealth.online/portugal/pt [15i/0c/p48] ;; https://www.myglobalhealth.online/portugal/es [1i/0c/p57]
online gp spain,2,16,0,https://www.myglobalhealth.online/spain/es,Spain,es,market_home,10.0,wrong_locale,Spain,en|es,https://www.myglobalhealth.online/spain/es [14i/0c/p13] ;; https://www.myglobalhealth.online/spain/en [2i/0c/p10]
my health,3,15,0,https://www.myglobalhealth.online/czechia/cs,Czechia,cs,market_home,8.6,cross_market,Czechia|Romania|Spain,cs|es|ro,https://www.myglobalhealth.online/czechia/cs [8i/0c/p9] ;; https://www.myglobalhealth.online/spain/es [4i/0c/p15] ;; https://www.myglobalhealth.online/romania/ro [3i/0c/p21]
mental health assessment specialists,3,15,0,https://www.myglobalhealth.online/ireland/en/services/mental-health-consultation,Ireland,en,services,19.6,no,Ireland,en,https://www.myglobalhealth.online/ireland/en/services/mental-health-consultation [10i/0c/p20] ;; https://www.myglobalhealth.online/ireland/en/services/psychiatry-specialist-consultation [3i/0c/p25] ;; https://www.myglobalhealth.online/ireland/en/services/psychology-specialist-consultation [2i/0c/p72]
online gp ireland,2,15,0,https://www.myglobalhealth.online/ireland/en/gp-consultation-online,Ireland,en,gp-consultation-online,32.1,no,Ireland,en,https://www.myglobalhealth.online/ireland/en/gp-consultation-online [14i/0c/p32] ;; https://www.myglobalhealth.online/ireland/en [1i/0c/p71]
certificate of incapacity for work,2,15,0,https://www.myglobalhealth.online/ireland/en/blog/illness-benefit-ireland-how-to-claim,Ireland,en,blog,7.4,no,Ireland,en,https://www.myglobalhealth.online/ireland/en/blog/illness-benefit-ireland-how-to-claim [14i/0c/p7] ;; https://www.myglobalhealth.online/ireland/en/blog/sick-certificate-ireland-employee-rights [1i/0c/p56]
tabela pressão arterial,2,15,0,https://www.myglobalhealth.online/brazil/pt/tools/blood-pressure-chart,Brazil,pt,tools,10.9,cross_market,Brazil|Portugal,pt,https://www.myglobalhealth.online/brazil/pt/tools/blood-pressure-chart [11i/0c/p11] ;; https://www.myglobalhealth.online/portugal/pt/tools/blood-pressure-chart [4i/0c/p15]
doctores online,2,15,1,https://www.myglobalhealth.online/spain/es,Spain,es,market_home,14.0,wrong_locale,Spain,en|es,https://www.myglobalhealth.online/spain/es [14i/1c/p31] ;; https://www.myglobalhealth.online/spain/en [1i/0c/p14]
global health clinic,4,15,0,https://www.myglobalhealth.online,,,legacy_or_global,6.0,cross_market+wrong_locale,Brazil|Romania|Spain,en|es,https://www.myglobalhealth.online [12i/0c/p8] ;; https://www.myglobalhealth.online/brazil/en/contact [1i/0c/p11] ;; https://www.myglobalhealth.online/romania/en [1i/0c/p6] ;; https://www.myglobalhealth.online/spain/es [1i/0c/p6]
tensión normal,2,15,0,https://www.myglobalhealth.online/spain/es/tools/blood-pressure-chart,Spain,es,tools,27.2,cross_market+wrong_locale,Romania|Spain,es,https://www.myglobalhealth.online/spain/es/tools/blood-pressure-chart [14i/0c/p27] ;; https://www.myglobalhealth.online/romania/es/blog/presion-arterial-normal-guia-util-por-edad-sin-tablas-enganosas [1i/0c/p86]
bmi calculator romana,2,15,0,https://www.myglobalhealth.online/romania/ro/tools/bmi-calculator,Romania,ro,tools,24.2,wrong_locale,Romania,es|ro,https://www.myglobalhealth.online/romania/ro/tools/bmi-calculator [12i/0c/p24] ;; https://www.myglobalhealth.online/romania/es/tools/bmi-calculator [3i/0c/p57]
krevní tlak hodnoty,2,15,0,https://www.myglobalhealth.online/czechia/cs/tools/blood-pressure-chart,Czechia,cs,tools,39.6,cross_market+wrong_locale,Czechia|Romania,cs,https://www.myglobalhealth.online/czechia/cs/tools/blood-pressure-chart [11i/0c/p40] ;; https://www.myglobalhealth.online/romania/cs/blog/normalni-krevni-tlak-podle-veku-uzitecny-pruvodce-bez-zavadejicich-tabulek [4i/0c/p67]
calcul imc obezitate,3,15,0,https://www.myglobalhealth.online/romania/es/tools/bmi-calculator,Romania,es,tools,24.0,cross_market+wrong_locale,Portugal|Romania,es|ro,https://www.myglobalhealth.online/romania/es/tools/bmi-calculator [12i/0c/p73] ;; https://www.myglobalhealth.online/romania/ro/tools/bmi-calculator [2i/0c/p24] ;; https://www.myglobalhealth.online/portugal/ro/tools/bmi-calculator [1i/0c/p55]
global health medical,4,15,3,https://www.myglobalhealth.online,,,legacy_or_global,1.0,no,Ireland,en,https://www.myglobalhealth.online [8i/0c/p11] ;; https://www.myglobalhealth.online/ireland/en [3i/3c/p1] ;; https://www.myglobalhealth.online/ireland/en/contact [3i/0c/p2] ;; https://www.myglobalhealth.online/about [1i/0c/p32]
consulta psiquiatra online,2,14,0,https://www.myglobalhealth.online/spain/pt/services/psiquiatra-online,Spain,pt,services,73.0,wrong_locale,Spain,en|pt,https://www.myglobalhealth.online/spain/pt/services/psiquiatra-online [11i/0c/p73] ;; https://www.myglobalhealth.online/spain/en/services/psicologo-online [3i/0c/p99]
test adhd copii online,4,14,0,https://www.myglobalhealth.online/romania/cs/tools/adhd-test,Romania,cs,tools,11.8,cross_market+wrong_locale,Ireland|Romania,cs|ro,https://www.myglobalhealth.online/romania/cs/tools/adhd-test [7i/0c/p49] ;; https://www.myglobalhealth.online/romania/ro/tools/adhd-test [5i/0c/p12] ;; https://www.myglobalhealth.online/ireland/ro/tools/adhd-test [1i/0c/p32] ;; https://www.myglobalhealth.online/romania/ro/tools/calorie-calculator [1i/0c/p81]
medical advisor online,3,14,0,https://www.myglobalhealth.online/spain/en,Spain,en,market_home,24.8,wrong_locale,Spain,en|es,https://www.myglobalhealth.online/spain/en [10i/0c/p25] ;; https://www.myglobalhealth.online [3i/0c/p74] ;; https://www.myglobalhealth.online/spain/es [1i/0c/p30]
english speaking doctor,2,14,0,https://www.myglobalhealth.online/ireland/en/doctors,Ireland,en,doctors,27.8,cross_market+wrong_locale,Czechia|Ireland,en,https://www.myglobalhealth.online/ireland/en/doctors [13i/0c/p28] ;; https://www.myglobalhealth.online/czechia/en [1i/0c/p39]
imc find a doctor,2,14,0,https://www.myglobalhealth.online/ireland/en/doctors,Ireland,en,doctors,5.4,no,Ireland,en,https://www.myglobalhealth.online/ireland/en/doctors [12i/0c/p5] ;; https://www.myglobalhealth.online/ireland/en [2i/0c/p8]
online dermatology consultation,2,14,0,https://www.myglobalhealth.online/spain/en/services/dermatologia-especialista-online,Spain,en,services,54.7,wrong_locale,Spain,en,https://www.myglobalhealth.online/spain/en/services/dermatologia-especialista-online [11i/0c/p83] ;; https://www.myglobalhealth.online/spain/en/blog/online-dermatologist-spain [3i/0c/p55]
global,3,14,0,https://www.myglobalhealth.online/portugal/pt,Portugal,pt,market_home,5.0,cross_market,Ireland|Portugal,en|pt,https://www.myglobalhealth.online/portugal/pt [12i/0c/p9] ;; https://www.myglobalhealth.online [1i/0c/p5] ;; https://www.myglobalhealth.online/ireland/en [1i/0c/p7]
czech doctor,2,14,0,https://www.myglobalhealth.online/czechia/en,Czechia,en,market_home,6.3,wrong_locale,Czechia,en|es,https://www.myglobalhealth.online/czechia/en [11i/0c/p8] ;; https://www.myglobalhealth.online/czechia/es [3i/0c/p6]
blood pressure chart europe,3,13,0,https://www.myglobalhealth.online/czechia/en/tools/blood-pressure-chart,Czechia,en,tools,5.0,cross_market+wrong_locale,Czechia|Ireland|Portugal,en,https://www.myglobalhealth.online/czechia/en/tools/blood-pressure-chart [7i/0c/p8] ;; https://www.myglobalhealth.online/ireland/en/tools/blood-pressure-chart [5i/0c/p11] ;; https://www.myglobalhealth.online/portugal/en/tools/blood-pressure-chart [1i/0c/p5]
online medical follow up,2,13,0,https://www.myglobalhealth.online/spain/en,Spain,en,market_home,10.7,wrong_locale,Spain,en|es,https://www.myglobalhealth.online/spain/en [12i/0c/p11] ;; https://www.myglobalhealth.online/spain/es/contact [1i/0c/p67]
online gp consultations,2,13,0,https://www.myglobalhealth.online/ireland/en/gp-consultation-online,Ireland,en,gp-consultation-online,29.0,no,Ireland,en,https://www.myglobalhealth.online/ireland/en/gp-consultation-online [11i/0c/p31] ;; https://www.myglobalhealth.online/ireland/en/book [2i/0c/p29]
dr moreno montañez dermatologo,2,13,1,https://www.myglobalhealth.online/spain/es/doctors/dr-alfredo-del-valle,Spain,es,doctors,4.9,no,Spain,es,https://www.myglobalhealth.online/spain/es/doctors/dr-alfredo-del-valle [9i/1c/p5] ;; https://www.myglobalhealth.online/spain/es/blog/dermatologo-online-que-puede-resolver [4i/0c/p14]
amh test,2,13,0,https://www.myglobalhealth.online/ireland/cs/lab-tests/amh-fertility-test,Ireland,cs,lab-tests,28.8,wrong_locale,Ireland,cs|en,https://www.myglobalhealth.online/ireland/cs/lab-tests/amh-fertility-test [7i/0c/p36] ;; https://www.myglobalhealth.online/ireland/en/lab-tests/amh-fertility-test [6i/0c/p29]
how to claim sick pay ireland,2,13,0,https://www.myglobalhealth.online/ireland/en/blog/illness-benefit-ireland-how-to-claim,Ireland,en,blog,17.2,wrong_locale,Ireland,cs|en,https://www.myglobalhealth.online/ireland/en/blog/illness-benefit-ireland-how-to-claim [10i/0c/p17] ;; https://www.myglobalhealth.online/ireland/cs/blog/illness-benefit-irsko-jak-zazadat [3i/0c/p56]
calculadora imc,3,13,0,https://www.myglobalhealth.online/spain/es/tools/bmi-calculator,Spain,es,tools,44.0,cross_market+wrong_locale,Portugal|Romania|Spain,es|pt,https://www.myglobalhealth.online/spain/es/tools/bmi-calculator [9i/0c/p46] ;; https://www.myglobalhealth.online/portugal/pt/tools/bmi-calculator [3i/0c/p59] ;; https://www.myglobalhealth.online/romania/es/tools/bmi-calculator [1i/0c/p44]
global medic,6,13,0,https://www.myglobalhealth.online/ireland/en/press,Ireland,en,press,16.3,cross_market,Ireland|Spain,en|es,https://www.myglobalhealth.online/ireland/en/press [3i/0c/p61] ;; https://www.myglobalhealth.online/ireland/en/contact [3i/0c/p31] ;; https://www.myglobalhealth.online/spain/es [3i/0c/p16] ;; https://www.myglobalhealth.online/ireland/en/about [2i/0c/p66] ;; https://www.myglobalhealth.online/ireland/en [1i/0c/p28] ;; https://www.myglobalhealth.online/spain/es/contact [1i/0c/p19]
calculator bmi femei,2,13,0,https://www.myglobalhealth.online/romania/ro/tools/bmi-calculator,Romania,ro,tools,26.8,wrong_locale,Romania,es|ro,https://www.myglobalhealth.online/romania/ro/tools/bmi-calculator [11i/0c/p27] ;; https://www.myglobalhealth.online/romania/es/tools/bmi-calculator [2i/0c/p65]
imc adulti,2,13,0,https://www.myglobalhealth.online/romania/es/tools/bmi-calculator,Romania,es,tools,28.8,wrong_locale,Romania,es|ro,https://www.myglobalhealth.online/romania/es/tools/bmi-calculator [9i/0c/p82] ;; https://www.myglobalhealth.online/romania/ro/tools/bmi-calculator [4i/0c/p29]
online medical certificate,2,12,0,https://www.myglobalhealth.online/ireland/es/health/sick-cert-online,Ireland,es,health,33.4,cross_market+wrong_locale,Ireland|Spain,es,https://www.myglobalhealth.online/ireland/es/health/sick-cert-online [10i/0c/p33] ;; https://www.myglobalhealth.online/spain/es [2i/0c/p47]
tabulka měření tlaku,2,12,0,https://www.myglobalhealth.online/czechia/cs/tools/blood-pressure-chart,Czechia,cs,tools,13.3,cross_market+wrong_locale,Czechia|Ireland,cs,https://www.myglobalhealth.online/czechia/cs/tools/blood-pressure-chart [11i/0c/p13] ;; https://www.myglobalhealth.online/ireland/cs/tools/blood-pressure-chart [1i/0c/p33]
"rybná 716/24, praha 1, staré město, 11000, cehia",2,12,0,https://www.myglobalhealth.online/czechia/cs,Czechia,cs,market_home,7.4,no,Czechia,cs,https://www.myglobalhealth.online/czechia/cs [7i/0c/p7] ;; https://www.myglobalhealth.online/czechia/cs/book [5i/0c/p14]
sim,8,12,0,https://www.myglobalhealth.online/portugal/pt/blog/baixa-medica-quanto-se-recebe-como-calcular,Portugal,pt,blog,1.0,cross_market+wrong_locale,Brazil|Portugal,en|pt,https://www.myglobalhealth.online/portugal/pt/blog/baixa-medica-quanto-se-recebe-como-calcular [3i/0c/p2] ;; https://www.myglobalhealth.online/brazil/en/blog/does-an-attendance-certificate-excuse-an-absence-the-difference-from-a-medical-c [2i/0c/p2] ;; https://www.myglobalhealth.online/portugal/pt/blog/atestado-medico-para-carta-de-conducao [2i/0c/p7] ;; https://www.myglobalhealth.online/brazil/en [1i/0c/p3] ;; https://www.myglobalhealth.online/portugal/en/blog/autodeclaracao-de-doenca-ou-baixa-medica [1i/0c/p6] ;; https://www.myglobalhealth.online/brazil/en/blog/laboratory-test-request-brazil [1i/0c/p1]
calculator imc barbati,2,12,0,https://www.myglobalhealth.online/romania/ro/tools/bmi-calculator,Romania,ro,tools,27.4,wrong_locale,Romania,es|ro,https://www.myglobalhealth.online/romania/ro/tools/bmi-calculator [11i/0c/p27] ;; https://www.myglobalhealth.online/romania/es/tools/bmi-calculator [1i/0c/p68]
home blood test,2,12,0,https://www.myglobalhealth.online/ireland/en/lab-tests,Ireland,en,lab-tests,24.0,no,Ireland,en,https://www.myglobalhealth.online/ireland/en/lab-tests [11i/0c/p39] ;; https://www.myglobalhealth.online/ireland/en/lab-tests/general-health-test [1i/0c/p24]
bmi calculator,2,12,0,https://www.myglobalhealth.online/ireland/en/tools/bmi-calculator,Ireland,en,tools,61.7,cross_market+wrong_locale,Czechia|Ireland,en,https://www.myglobalhealth.online/ireland/en/tools/bmi-calculator [9i/0c/p62] ;; https://www.myglobalhealth.online/czechia/en/tools/bmi-calculator [3i/0c/p62]
vitamin b12 test,3,11,0,https://www.myglobalhealth.online/ireland/cs/lab-tests/vitamin-b12-test,Ireland,cs,lab-tests,30.0,wrong_locale,Ireland,cs|de|en,https://www.myglobalhealth.online/ireland/cs/lab-tests/vitamin-b12-test [5i/0c/p71] ;; https://www.myglobalhealth.online/ireland/de/lab-tests/vitamin-b12-test [3i/0c/p45] ;; https://www.myglobalhealth.online/ireland/en/lab-tests/vitamin-b12-test [3i/0c/p30]
imc doctor search,2,11,0,https://www.myglobalhealth.online/ireland/en,Ireland,en,market_home,8.4,no,Ireland,en,https://www.myglobalhealth.online/ireland/en [6i/0c/p16] ;; https://www.myglobalhealth.online/ireland/en/doctors [5i/0c/p8]
calcul necesar caloric,2,11,0,https://www.myglobalhealth.online/romania/ro/tools/calorie-calculator,Romania,ro,tools,21.3,cross_market+wrong_locale,Romania|Spain,ro,https://www.myglobalhealth.online/romania/ro/tools/calorie-calculator [7i/0c/p21] ;; https://www.myglobalhealth.online/spain/ro/tools/calorie-calculator [4i/0c/p33]
consulting doctor online,3,11,0,https://www.myglobalhealth.online/ireland/en/gp-consultation-online,Ireland,en,gp-consultation-online,35.0,no,Ireland,en,https://www.myglobalhealth.online/ireland/en/gp-consultation-online [4i/0c/p72] ;; https://www.myglobalhealth.online/ireland/en/see-a-specialist [4i/0c/p85] ;; https://www.myglobalhealth.online/ireland/en/book [3i/0c/p35]
consulta online dermatologia,2,11,0,https://www.myglobalhealth.online/spain/pt/blog/dermatologista-online-espanha,Spain,pt,blog,31.3,wrong_locale,Spain,en|pt,https://www.myglobalhealth.online/spain/pt/blog/dermatologista-online-espanha [6i/0c/p31] ;; https://www.myglobalhealth.online/spain/en/services/dermatologia-especialista-online [5i/0c/p79]
presion arterial normal,2,11,0,https://www.myglobalhealth.online/spain/es/tools/blood-pressure-chart,Spain,es,tools,54.1,cross_market+wrong_locale,Romania|Spain,es,https://www.myglobalhealth.online/spain/es/tools/blood-pressure-chart [7i/0c/p54] ;; https://www.myglobalhealth.online/romania/es/blog/presion-arterial-normal-guia-util-por-edad-sin-tablas-enganosas [4i/0c/p58]
clinica,3,11,0,https://www.myglobalhealth.online/ireland/pt,Ireland,pt,market_home,4.2,cross_market+wrong_locale,Ireland|Portugal,pt,https://www.myglobalhealth.online/ireland/pt [5i/0c/p8] ;; https://www.myglobalhealth.online/portugal/pt [4i/0c/p4] ;; https://www.myglobalhealth.online/pt [2i/0c/p13]
consulta online dermatologista,2,11,0,https://www.myglobalhealth.online/spain/pt/blog/dermatologista-online-espanha,Spain,pt,blog,29.7,wrong_locale,Spain,en|pt,https://www.myglobalhealth.online/spain/pt/blog/dermatologista-online-espanha [6i/0c/p30] ;; https://www.myglobalhealth.online/spain/en/services/dermatologia-especialista-online [5i/0c/p87]
tabel imc,2,11,0,https://www.myglobalhealth.online/romania/ro/tools/bmi-calculator,Romania,ro,tools,28.2,cross_market+wrong_locale,Portugal|Romania,ro,https://www.myglobalhealth.online/romania/ro/tools/bmi-calculator [6i/0c/p28] ;; https://www.myglobalhealth.online/portugal/ro/tools/bmi-calculator [5i/0c/p29]
tabela tensão arterial,3,11,0,https://www.myglobalhealth.online/portugal/pt/tools/blood-pressure-chart,Portugal,pt,tools,9.0,cross_market+wrong_locale,Brazil|Portugal|Romania,pt,https://www.myglobalhealth.online/portugal/pt/tools/blood-pressure-chart [9i/0c/p10] ;; https://www.myglobalhealth.online/brazil/pt/tools/blood-pressure-chart [1i/0c/p9] ;; https://www.myglobalhealth.online/romania/pt/tools/blood-pressure-chart [1i/0c/p18]
bmi calculator ireland,2,11,0,https://www.myglobalhealth.online/ireland/en/tools/bmi-calculator,Ireland,en,tools,30.4,wrong_locale,Ireland,cs|en,https://www.myglobalhealth.online/ireland/en/tools/bmi-calculator [10i/0c/p30] ;; https://www.myglobalhealth.online/ireland/cs/tools/bmi-calculator [1i/0c/p100]
ano,2,11,0,https://www.myglobalhealth.online/czechia/en/blog/czech-sick-pay-calculation-2026-employer-cssz,Czechia,en,blog,2.0,wrong_locale,Czechia,en,https://www.myglobalhealth.online/czechia/en/blog/czech-sick-pay-calculation-2026-employer-cssz [9i/0c/p2] ;; https://www.myglobalhealth.online/czechia/en/blog/neschopenka-czech-sick-note-explained [2i/0c/p2]
normální krevní tlak,2,11,0,https://www.myglobalhealth.online/czechia/cs/tools/blood-pressure-chart,Czechia,cs,tools,37.3,cross_market+wrong_locale,Czechia|Romania,cs,https://www.myglobalhealth.online/czechia/cs/tools/blood-pressure-chart [7i/0c/p37] ;; https://www.myglobalhealth.online/romania/cs/blog/normalni-krevni-tlak-podle-veku-uzitecny-pruvodce-bez-zavadejicich-tabulek [4i/0c/p65]
online doctor portugal,2,11,0,https://www.myglobalhealth.online/portugal/en/contact,Portugal,en,contact,21.0,wrong_locale,Portugal,en|pt,https://www.myglobalhealth.online/portugal/en/contact [9i/0c/p21] ;; https://www.myglobalhealth.online/portugal/pt [2i/0c/p54]
online gp,2,11,0,https://www.myglobalhealth.online/spain/es,Spain,es,market_home,19.1,cross_market,Ireland|Spain,en|es,https://www.myglobalhealth.online/spain/es [7i/0c/p19] ;; https://www.myglobalhealth.online/ireland/en/gp-consultation-online [4i/0c/p35]
