query,competing_urls,impressions_W1,clicks_W1,top_url,top_url_market,top_url_locale,top_url_section,best_position,cannibalisation_type,markets_involved,locales_involved,url_detail
medico online,5,81,0,https://www.myglobalhealth.online/spain/es,Spain,es,market_home,6.0,cross_market+wrong_locale,Ireland|Portugal|Spain,es|pt,https://www.myglobalhealth.online/spain/es [61i/0c/p30] ;; https://www.myglobalhealth.online/portugal/pt [11i/0c/p58] ;; https://www.myglobalhealth.online/portugal/es/services/consulta-medica [6i/0c/p88] ;; https://www.myglobalhealth.online/ireland/pt [2i/0c/p6] ;; https://www.myglobalhealth.online/portugal/es [1i/0c/p8]
healthy online,3,79,0,https://www.myglobalhealth.online/spain/es,Spain,es,market_home,1.0,cross_market,Czechia|Spain,cs|es,https://www.myglobalhealth.online/spain/es [74i/0c/p5] ;; https://www.myglobalhealth.online/czechia/cs [4i/0c/p2] ;; https://www.myglobalhealth.online/czechia/cs/blog/lekar-online-24-7-co-vyresi [1i/0c/p1]
global health online,3,75,7,https://www.myglobalhealth.online,,,legacy_or_global,2.5,no,Ireland,en,https://www.myglobalhealth.online [69i/6c/p5] ;; https://www.myglobalhealth.online/ireland/en/about [4i/1c/p2] ;; https://www.myglobalhealth.online/about [2i/0c/p10]
consulta cardio online,5,73,0,https://www.myglobalhealth.online/portugal/pt/services/consulta-cardiologia,Portugal,pt,services,18.1,cross_market+wrong_locale,Portugal|Spain,pt,https://www.myglobalhealth.online/portugal/pt/services/consulta-cardiologia [26i/0c/p18] ;; https://www.myglobalhealth.online/spain/pt/services/cardiologo-online [24i/0c/p81] ;; https://www.myglobalhealth.online/portugal/pt [18i/0c/p72] ;; https://www.myglobalhealth.online/pt/portugal-specialist-consultations/consulta-de-cardiologia [3i/0c/p71] ;; https://www.myglobalhealth.online/spain/pt [2i/0c/p76]
adhd test,4,73,0,https://www.myglobalhealth.online/ireland/en/tools/adhd-test,Ireland,en,tools,3.0,cross_market+wrong_locale,Czechia|Ireland|Portugal|Romania,cs|en|ro,https://www.myglobalhealth.online/ireland/en/tools/adhd-test [41i/0c/p68] ;; https://www.myglobalhealth.online/czechia/cs/tools/adhd-test [30i/0c/p19] ;; https://www.myglobalhealth.online/portugal/cs/tools/adhd-test [1i/0c/p3] ;; https://www.myglobalhealth.online/romania/ro/tools/adhd-test [1i/0c/p45]
medicina online,4,72,0,https://www.myglobalhealth.online/spain/es,Spain,es,market_home,13.5,cross_market+wrong_locale,Portugal|Romania|Spain,es|pt|ro,https://www.myglobalhealth.online/spain/es [63i/0c/p37] ;; https://www.myglobalhealth.online/romania/ro [6i/0c/p14] ;; https://www.myglobalhealth.online/portugal/pt [2i/0c/p46] ;; https://www.myglobalhealth.online/portugal/es/services/consulta-medica [1i/0c/p67]
consultas médicas online,3,72,0,https://www.myglobalhealth.online/spain/es,Spain,es,market_home,48.7,cross_market+wrong_locale,Portugal|Spain,es|pt,https://www.myglobalhealth.online/spain/es [35i/0c/p49] ;; https://www.myglobalhealth.online/portugal/pt [30i/0c/p60] ;; https://www.myglobalhealth.online/portugal/es/services/consulta-medica [7i/0c/p95]
tiago figueira,2,69,3,https://www.myglobalhealth.online/portugal/pt/doctors/dr-tiago-miguel-figueira,Portugal,pt,doctors,2.7,cross_market,Ireland|Portugal,en|pt,https://www.myglobalhealth.online/portugal/pt/doctors/dr-tiago-miguel-figueira [35i/3c/p3] ;; https://www.myglobalhealth.online/ireland/en/doctors/dr-tiago-miguel-figueira [34i/0c/p6]
bmi kalkulačka,3,67,0,https://www.myglobalhealth.online/czechia/cs/tools/bmi-calculator,Czechia,cs,tools,9.5,cross_market+wrong_locale,Czechia|Ireland|Portugal,cs,https://www.myglobalhealth.online/czechia/cs/tools/bmi-calculator [63i/0c/p29] ;; https://www.myglobalhealth.online/ireland/cs/tools/bmi-calculator [2i/0c/p16] ;; https://www.myglobalhealth.online/portugal/cs/tools/bmi-calculator [2i/0c/p10]
same day sick cert,3,64,0,https://www.myglobalhealth.online/ireland/en/services/sick-certificate-ireland,Ireland,en,services,18.3,wrong_locale,Ireland,en|es|ro,https://www.myglobalhealth.online/ireland/en/services/sick-certificate-ireland [36i/0c/p52] ;; https://www.myglobalhealth.online/ireland/es/health/sick-cert-online [17i/0c/p18] ;; https://www.myglobalhealth.online/ireland/ro/health/sick-cert-online [11i/0c/p43]
sick cert online,3,62,0,https://www.myglobalhealth.online/ireland/sick-leave,Ireland,,market_home,27.0,wrong_locale,Ireland,es|ro,https://www.myglobalhealth.online/ireland/sick-leave [37i/0c/p53] ;; https://www.myglobalhealth.online/ireland/es/health/sick-cert-online [15i/0c/p27] ;; https://www.myglobalhealth.online/ireland/ro/health/sick-cert-online [10i/0c/p55]
global health care,7,62,0,https://www.myglobalhealth.online,,,legacy_or_global,6.5,no,Ireland,en,https://www.myglobalhealth.online [43i/0c/p53] ;; https://www.myglobalhealth.online/about [10i/0c/p30] ;; https://www.myglobalhealth.online/ireland/en [2i/0c/p13] ;; https://www.myglobalhealth.online/ireland/en/contact [2i/0c/p7] ;; https://www.myglobalhealth.online/ireland/en/about [2i/0c/p6] ;; https://www.myglobalhealth.online/pt [2i/0c/p13]
illness benefit,3,61,1,https://www.myglobalhealth.online/ireland/en/blog/illness-benefit-ireland-how-to-claim,Ireland,en,blog,18.9,wrong_locale,Ireland,cs|en,https://www.myglobalhealth.online/ireland/en/blog/illness-benefit-ireland-how-to-claim [44i/0c/p19] ;; https://www.myglobalhealth.online/ireland/en/blog/illness-benefit-payment-ireland-rate-tax-timing [16i/1c/p21] ;; https://www.myglobalhealth.online/ireland/cs/blog/illness-benefit-irsko-jak-zazadat [1i/0c/p50]
alfredo del valle moreno montañez,4,61,10,https://www.myglobalhealth.online/spain/es/doctors/dr-alfredo-del-valle,Spain,es,doctors,3.7,wrong_locale,Spain,cs|es,https://www.myglobalhealth.online/spain/es/doctors/dr-alfredo-del-valle [58i/10c/p4] ;; https://www.myglobalhealth.online/spain/cs/doctors/dr-alfredo-del-valle [1i/0c/p9] ;; https://www.myglobalhealth.online/spain/es/blog/dermatologo-online-que-puede-resolver [1i/0c/p11] ;; https://www.myglobalhealth.online/spain/es/see-a-specialist [1i/0c/p21]
global healthcare,3,61,0,https://www.myglobalhealth.online,,,legacy_or_global,33.1,no,Spain,es,https://www.myglobalhealth.online [48i/0c/p55] ;; https://www.myglobalhealth.online/about [12i/0c/p33] ;; https://www.myglobalhealth.online/spain/es [1i/0c/p57]
adhd assessment,2,60,0,https://www.myglobalhealth.online/ireland/en/tools/adhd-test,Ireland,en,tools,42.8,no,Ireland,en,https://www.myglobalhealth.online/ireland/en/tools/adhd-test [41i/0c/p76] ;; https://www.myglobalhealth.online/ireland/en/blog/adult-adhd-assessment-ireland-public-private-routes [19i/0c/p43]
cita medico,5,58,0,https://www.myglobalhealth.online/portugal/es/services/consulta-medica,Portugal,es,services,2.7,cross_market+wrong_locale,Ireland|Portugal|Romania,es,https://www.myglobalhealth.online/portugal/es/services/consulta-medica [30i/0c/p6] ;; https://www.myglobalhealth.online/portugal/es [14i/0c/p8] ;; https://www.myglobalhealth.online/ireland/es [9i/0c/p6] ;; https://www.myglobalhealth.online/ireland/es/contact [3i/0c/p3] ;; https://www.myglobalhealth.online/romania/es [2i/0c/p3]
ce scade tensiunea imediat,2,58,0,https://www.myglobalhealth.online/romania/ro/blog/ce-scade-tensiunea-arteriala-rapid-sigur,Romania,ro,blog,8.0,cross_market+wrong_locale,Romania|Spain,ro,https://www.myglobalhealth.online/romania/ro/blog/ce-scade-tensiunea-arteriala-rapid-sigur [39i/0c/p8] ;; https://www.myglobalhealth.online/spain/ro/blog/cum-se-scade-tensiunea-ce-functioneaza-conform-ghidurilor-si-ce-doar-pare-sa-fun [19i/0c/p16]
