date,page,searcher_country,device,search_type,clicks,impressions,ctr,avg_position,row_key,refresh_id,data_state,source_timezone,data_quality,source
2026-07-21,https://www.myglobalhealth.online/brazil/en/services/atestado-medico-online,gbr,DESKTOP,web,0,1,0,90,2026-07-21|https://www.myglobalhealth.online/brazil/en/services/atestado-medico-online|gbr|DESKTOP|web,R2026-09-15-GSC-B,final,America/Los_Angeles,ok,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/brazil/en/services/solicitacao-exames-online,bra,DESKTOP,web,0,46,0,1.6521739130434783,2026-07-21|https://www.myglobalhealth.online/brazil/en/services/solicitacao-exames-online|bra|DESKTOP|web,R2026-09-15-GSC-B,final,America/Los_Angeles,ok,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/brazil/es/doctors,mex,DESKTOP,web,0,1,0,8,2026-07-21|https://www.myglobalhealth.online/brazil/es/doctors|mex|DESKTOP|web,R2026-09-15-GSC-B,final,America/Los_Angeles,ok,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/brazil/es/doctors,usa,DESKTOP,web,0,4,0,8.25,2026-07-21|https://www.myglobalhealth.online/brazil/es/doctors|usa|DESKTOP|web,R2026-09-15-GSC-B,final,America/Los_Angeles,ok,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/brazil/es/services/atestado-medico-online,bra,DESKTOP,web,0,1,0,11,2026-07-21|https://www.myglobalhealth.online/brazil/es/services/atestado-medico-online|bra|DESKTOP|web,R2026-09-15-GSC-B,final,America/Los_Angeles,ok,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/brazil/es/services/atestado-medico-online,gbr,DESKTOP,web,0,2,0,45,2026-07-21|https://www.myglobalhealth.online/brazil/es/services/atestado-medico-online|gbr|DESKTOP|web,R2026-09-15-GSC-B,final,America/Los_Angeles,ok,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/brazil/es/services/consulta-pele-online,bra,DESKTOP,web,0,1,0,76,2026-07-21|https://www.myglobalhealth.online/brazil/es/services/consulta-pele-online|bra|DESKTOP|web,R2026-09-15-GSC-B,final,America/Los_Angeles,ok,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/brazil/es/services/pediatria-online,gbr,DESKTOP,web,0,1,0,68,2026-07-21|https://www.myglobalhealth.online/brazil/es/services/pediatria-online|gbr|DESKTOP|web,R2026-09-15-GSC-B,final,America/Los_Angeles,ok,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/brazil/pt/pricing,bra,DESKTOP,web,0,1,0,17,2026-07-21|https://www.myglobalhealth.online/brazil/pt/pricing|bra|DESKTOP|web,R2026-09-15-GSC-B,final,America/Los_Angeles,ok,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/brazil/pt/services/atestado-medico-online,bra,DESKTOP,web,0,1,0,11,2026-07-21|https://www.myglobalhealth.online/brazil/pt/services/atestado-medico-online|bra|DESKTOP|web,R2026-09-15-GSC-B,final,America/Los_Angeles,ok,openseo:get_search_console_performance
