date,search_type,clicks,impressions,ctr,avg_position,data_state,source_timezone,refresh_id,data_quality,source
2026-03-17,web,17,311,0.05466237942122187,11.92282958199357,final,America/Los_Angeles,R2026-09-15-GSC-A,,openseo:get_search_console_performance
2026-03-18,web,6,323,0.018575851393188854,10.3343653250774,final,America/Los_Angeles,R2026-09-15-GSC-A,,openseo:get_search_console_performance
2026-03-19,web,13,258,0.050387596899224806,10.96124031007752,final,America/Los_Angeles,R2026-09-15-GSC-A,,openseo:get_search_console_performance
2026-03-20,web,8,215,0.037209302325581395,9.655813953488373,final,America/Los_Angeles,R2026-09-15-GSC-A,,openseo:get_search_console_performance
2026-03-21,web,3,144,0.020833333333333332,15.708333333333334,final,America/Los_Angeles,R2026-09-15-GSC-A,,openseo:get_search_console_performance
2026-03-22,web,7,164,0.042682926829268296,14.176829268292684,final,America/Los_Angeles,R2026-09-15-GSC-A,,openseo:get_search_console_performance
2026-03-23,web,10,185,0.05405405405405406,8.54054054054054,final,America/Los_Angeles,R2026-09-15-GSC-A,,openseo:get_search_console_performance
2026-03-24,web,18,193,0.09326424870466321,6.082901554404145,final,America/Los_Angeles,R2026-09-15-GSC-A,,openseo:get_search_console_performance
2026-03-25,web,15,239,0.06276150627615062,10.690376569037657,final,America/Los_Angeles,R2026-09-15-GSC-A,,openseo:get_search_console_performance
2026-03-26,web,5,167,0.029940119760479042,10.023952095808383,final,America/Los_Angeles,R2026-09-15-GSC-A,,openseo:get_search_console_performance
2026-03-27,web,14,192,0.07291666666666667,9.161458333333334,final,America/Los_Angeles,R2026-09-15-GSC-A,,openseo:get_search_console_performance
2026-03-28,web,5,114,0.043859649122807015,12.289473684210526,final,America/Los_Angeles,R2026-09-15-GSC-A,,openseo:get_search_console_performance
2026-03-29,web,4,124,0.03225806451612903,9.411290322580646,final,America/Los_Angeles,R2026-09-15-GSC-A,,openseo:get_search_console_performance
2026-03-30,web,13,214,0.06074766355140187,9.200934579439252,final,America/Los_Angeles,R2026-09-15-GSC-A,,openseo:get_search_console_performance
2026-03-31,web,11,214,0.0514018691588785,7.658878504672897,final,America/Los_Angeles,R2026-09-15-GSC-A,,openseo:get_search_console_performance
2026-04-01,web,3,224,0.013392857142857142,8.638392857142858,final,America/Los_Angeles,R2026-09-15-GSC-A,,openseo:get_search_console_performance
2026-04-02,web,6,319,0.018808777429467086,7.316614420062696,final,America/Los_Angeles,R2026-09-15-GSC-A,,openseo:get_search_console_performance
2026-04-03,web,8,186,0.043010752688172046,10.5,final,America/Los_Angeles,R2026-09-15-GSC-A,,openseo:get_search_console_performance
2026-04-04,web,3,125,0.024,13.704,final,America/Los_Angeles,R2026-09-15-GSC-A,,openseo:get_search_console_performance
2026-04-05,web,1,126,0.007936507936507936,10.515873015873016,final,America/Los_Angeles,R2026-09-15-GSC-A,,openseo:get_search_console_performance
2026-04-06,web,7,179,0.03910614525139665,10.837988826815643,final,America/Los_Angeles,R2026-09-15-GSC-A,,openseo:get_search_console_performance
