date,query,page,searcher_country,device,search_type,clicks,impressions,ctr,avg_position,row_key,refresh_id,data_state,source_timezone,data_quality,source
2026-09-05,adhd assessment test for adults,https://www.myglobalhealth.online/ireland/en/tools/adhd-test,irl,MOBILE,web,0,1,0,69,2026-09-05|adhd assessment test for adults|https://www.myglobalhealth.online/ireland/en/tools/adhd-test|irl|MOBILE|web,R2026-09-15-GSC-C,final,America/Los_Angeles,,openseo:get_search_console_performance
2026-09-05,adhd survey for adults,https://www.myglobalhealth.online/ireland/en/tools/adhd-test,irl,MOBILE,web,0,1,0,78,2026-09-05|adhd survey for adults|https://www.myglobalhealth.online/ireland/en/tools/adhd-test|irl|MOBILE|web,R2026-09-15-GSC-C,final,America/Los_Angeles,,openseo:get_search_console_performance
2026-09-05,adhd test,https://www.myglobalhealth.online/ireland/en/tools/adhd-test,irl,MOBILE,web,0,3,0,60,2026-09-05|adhd test|https://www.myglobalhealth.online/ireland/en/tools/adhd-test|irl|MOBILE|web,R2026-09-15-GSC-C,final,America/Los_Angeles,,openseo:get_search_console_performance
2026-09-05,adhd test for adults,https://www.myglobalhealth.online/ireland/en/tools/adhd-test,irl,MOBILE,web,0,1,0,66,2026-09-05|adhd test for adults|https://www.myglobalhealth.online/ireland/en/tools/adhd-test|irl|MOBILE|web,R2026-09-15-GSC-C,final,America/Los_Angeles,,openseo:get_search_console_performance
2026-09-05,adhd test for adults free,https://www.myglobalhealth.online/ireland/en/tools/adhd-test,irl,MOBILE,web,0,1,0,55,2026-09-05|adhd test for adults free|https://www.myglobalhealth.online/ireland/en/tools/adhd-test|irl|MOBILE|web,R2026-09-15-GSC-C,final,America/Los_Angeles,,openseo:get_search_console_performance
2026-09-05,adhd test ireland free,https://www.myglobalhealth.online/ireland/en/tools/adhd-test,irl,MOBILE,web,0,1,0,30,2026-09-05|adhd test ireland free|https://www.myglobalhealth.online/ireland/en/tools/adhd-test|irl|MOBILE|web,R2026-09-15-GSC-C,final,America/Los_Angeles,,openseo:get_search_console_performance
2026-09-05,adult add test,https://www.myglobalhealth.online/ireland/en/tools/adhd-test,irl,MOBILE,web,0,1,0,66,2026-09-05|adult add test|https://www.myglobalhealth.online/ireland/en/tools/adhd-test|irl|MOBILE|web,R2026-09-15-GSC-C,final,America/Los_Angeles,,openseo:get_search_console_performance
2026-09-05,adult adhd symptoms test,https://www.myglobalhealth.online/ireland/en/tools/adhd-test,irl,MOBILE,web,0,1,0,58,2026-09-05|adult adhd symptoms test|https://www.myglobalhealth.online/ireland/en/tools/adhd-test|irl|MOBILE|web,R2026-09-15-GSC-C,final,America/Los_Angeles,,openseo:get_search_console_performance
2026-09-05,agendações online portugal,https://www.myglobalhealth.online/portugal/pt,prt,DESKTOP,web,0,1,0,56,2026-09-05|agendações online portugal|https://www.myglobalhealth.online/portugal/pt|prt|DESKTOP|web,R2026-09-15-GSC-C,final,America/Los_Angeles,,openseo:get_search_console_performance
2026-09-05,amh test,https://www.myglobalhealth.online/ireland/cs/lab-tests/amh-fertility-test,cze,DESKTOP,web,0,1,0,40,2026-09-05|amh test|https://www.myglobalhealth.online/ireland/cs/lab-tests/amh-fertility-test|cze|DESKTOP|web,R2026-09-15-GSC-C,final,America/Los_Angeles,,openseo:get_search_console_performance
2026-09-05,ask a heart doctor online,https://www.myglobalhealth.online/portugal/en/services/consulta-cardiologia,gbr,MOBILE,web,0,1,0,33,2026-09-05|ask a heart doctor online|https://www.myglobalhealth.online/portugal/en/services/consulta-cardiologia|gbr|MOBILE|web,R2026-09-15-GSC-C,final,America/Los_Angeles,,openseo:get_search_console_performance
2026-09-05,at home vitamin d test,https://www.myglobalhealth.online/ireland/en/lab-tests/vitamin-d-test,irl,MOBILE,web,0,1,0,25,2026-09-05|at home vitamin d test|https://www.myglobalhealth.online/ireland/en/lab-tests/vitamin-d-test|irl|MOBILE|web,R2026-09-15-GSC-C,final,America/Los_Angeles,,openseo:get_search_console_performance
2026-09-05,atencion medica online,https://www.myglobalhealth.online/spain/es,esp,DESKTOP,web,0,2,0,45,2026-09-05|atencion medica online|https://www.myglobalhealth.online/spain/es|esp|DESKTOP|web,R2026-09-15-GSC-C,final,America/Los_Angeles,,openseo:get_search_console_performance
2026-09-05,atestado carta condução,https://www.myglobalhealth.online/portugal/pt/blog/atestado-medico-para-carta-de-conducao,prt,DESKTOP,web,0,1,0,39,2026-09-05|atestado carta condução|https://www.myglobalhealth.online/portugal/pt/blog/atestado-medico-para-carta-de-conducao|prt|DESKTOP|web,R2026-09-15-GSC-C,final,America/Los_Angeles,,openseo:get_search_console_performance
2026-09-05,atestado carta de condução,https://www.myglobalhealth.online/portugal/pt/blog/atestado-medico-para-carta-de-conducao,prt,DESKTOP,web,0,1,0,40,2026-09-05|atestado carta de condução|https://www.myglobalhealth.online/portugal/pt/blog/atestado-medico-para-carta-de-conducao|prt|DESKTOP|web,R2026-09-15-GSC-C,final,America/Los_Angeles,,openseo:get_search_console_performance
2026-09-05,atestado carta de condução,https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao,prt,DESKTOP,web,0,1,0,67,2026-09-05|atestado carta de condução|https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao|prt|DESKTOP|web,R2026-09-15-GSC-C,final,America/Los_Angeles,,openseo:get_search_console_performance
2026-09-05,atestado medico carta condução,https://www.myglobalhealth.online/portugal/pt/blog/atestado-medico-para-carta-de-conducao,prt,DESKTOP,web,0,2,0,37.5,2026-09-05|atestado medico carta condução|https://www.myglobalhealth.online/portugal/pt/blog/atestado-medico-para-carta-de-conducao|prt|DESKTOP|web,R2026-09-15-GSC-C,final,America/Los_Angeles,,openseo:get_search_console_performance
2026-09-05,atestado medico carta condução,https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao,prt,DESKTOP,web,0,2,0,63.5,2026-09-05|atestado medico carta condução|https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao|prt|DESKTOP|web,R2026-09-15-GSC-C,final,America/Los_Angeles,,openseo:get_search_console_performance
2026-09-05,atestado medico para carta de condução preço,https://www.myglobalhealth.online/portugal/pt/blog/atestado-medico-para-carta-de-conducao,prt,DESKTOP,web,0,1,0,45,2026-09-05|atestado medico para carta de condução preço|https://www.myglobalhealth.online/portugal/pt/blog/atestado-medico-para-carta-de-conducao|prt|DESKTOP|web,R2026-09-15-GSC-C,final,America/Los_Angeles,,openseo:get_search_console_performance
