month_start,page,clicks,impressions,ctr,avg_position,period,truncated,refresh_id,source_timezone,source
2025-05-15,https://www.myglobalhealth.online/service-page/konzultace-pro-erektiln%C3%AD-dysfunkci,0,2,0,3,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
2025-05-15,https://www.myglobalhealth.online/service-page/migraine-consultation,0,6,0,8.833333333333332,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
2025-05-15,https://www.myglobalhealth.online/service-page/self-referral,0,16,0,1,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
2025-05-15,https://www.myglobalhealth.online/service-page/sick-leave,0,3,0,1,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
2025-06-01,https://www.myglobalhealth.online/,43,251,0.17131474103585656,8.498007968127489,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
2025-06-01,https://www.myglobalhealth.online/about-4,1,47,0.02127659574468085,7.702127659574468,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
2025-06-01,https://www.myglobalhealth.online/blog,1,19,0.05263157894736842,25.63157894736842,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
2025-06-01,https://www.myglobalhealth.online/pt/careers,1,4,0.25,14,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
2025-06-01,https://www.myglobalhealth.online/return-and-refund-policy,1,8,0.125,2.125,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
2025-06-01,https://www.myglobalhealth.online/service-page/gp-consultation,1,22,0.045454545454545456,22.772727272727273,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
2025-06-01,https://www.myglobalhealth.online/service-page/medicina-fisica-y-rehabilitacion,1,3,0.3333333333333333,6.666666666666667,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
2025-06-01,https://www.myglobalhealth.online/blog/categories/oncology,0,1,0,1,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
2025-06-01,https://www.myglobalhealth.online/book-online,0,1,0,1,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
2025-06-01,https://www.myglobalhealth.online/careers,0,4,0,3.25,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
2025-06-01,https://www.myglobalhealth.online/category/all-products,0,17,0,2,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
2025-06-01,https://www.myglobalhealth.online/cs,0,2,0,1,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
2025-06-01,https://www.myglobalhealth.online/cs/service-page/pediatrics-consultation,0,1,0,99,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
2025-06-01,https://www.myglobalhealth.online/es,0,2,0,6.5,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
2025-06-01,https://www.myglobalhealth.online/es/post/probi%C3%B3ticos-y-prebi%C3%B3ticos-cu%C3%A1ndo-y-c%C3%B3mo-usarlos-en-pediatr%C3%ADa,0,11,0,65.0909090909091,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
2025-06-01,https://www.myglobalhealth.online/general-5,0,1,0,12,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
2025-06-01,https://www.myglobalhealth.online/home-health-tests,0,50,0,36.08,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
2025-06-01,https://www.myglobalhealth.online/home-health-tests/female-hormone-test,0,13,0,91.46153846153847,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
2025-06-01,https://www.myglobalhealth.online/home-health-tests/general-health-blood-test,0,18,0,24.333333333333332,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
2025-06-01,https://www.myglobalhealth.online/home-health-tests/genetic-lactose-intolerance-test,0,643,0,91.27838258164853,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
2025-06-01,https://www.myglobalhealth.online/home-health-tests/male-hormone-test,0,1237,0,74.04607922392886,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
2025-06-01,https://www.myglobalhealth.online/home-health-tests/nutrition-and-lifestyle-home-dna-test,0,99,0,34.76767676767677,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
2025-06-01,https://www.myglobalhealth.online/home-health-tests/psa-test-(prostatic-specific-antigen),0,4,0,29,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
2025-06-01,https://www.myglobalhealth.online/home-health-tests/thyroid-home-blood-test,0,27,0,85.85185185185185,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
2025-06-01,https://www.myglobalhealth.online/home-health-tests/vitamin-b12-blood-test,0,2169,0,82.74273858921161,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
2025-06-01,https://www.myglobalhealth.online/home-health-tests/vitamin-d-blood-test,0,647,0,96.15146831530139,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
2025-06-01,https://www.myglobalhealth.online/post/the-role-of-a-dietitian-in-managing-chronic-conditions,0,8,0,62.625,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
2025-06-01,https://www.myglobalhealth.online/product-page/beauty-focus-collagen,0,75,0,12.573333333333334,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
2025-06-01,https://www.myglobalhealth.online/product-page/beauty-focus-multibeauty,0,101,0,8.98019801980198,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
2025-06-01,https://www.myglobalhealth.online/pt/post/a-tms-pode-melhorar-a-fun%C3%A7%C3%A3o-cognitiva-na-doen%C3%A7a-de-alzheimer-ou-no-comprometimento-cognitivo-lev,0,2,0,3,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
2025-06-01,https://www.myglobalhealth.online/pt/services-1-2/consulta-de-immunoalergologia,0,190,0,70.8,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
2025-06-01,https://www.myglobalhealth.online/service-page/asthma-prescription,0,23,0,50.869565217391305,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
2025-06-01,https://www.myglobalhealth.online/service-page/consulta-de-gastroenterolog%C3%ADa,0,5,0,5.4,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
2025-06-01,https://www.myglobalhealth.online/service-page/consulta-de-neurolog%C3%ADa,0,2,0,3.5,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
2025-06-01,https://www.myglobalhealth.online/service-page/consulta-de-urolog%C3%ADa,0,1,0,8,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
2025-06-01,https://www.myglobalhealth.online/service-page/erectile-dysfunction-consultation,0,8,0,42.875,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
2025-06-01,https://www.myglobalhealth.online/service-page/hay-fever-prescription,0,6,0,62.5,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
2025-06-01,https://www.myglobalhealth.online/service-page/l%C3%A9ka%C5%99sk%C3%A1-konzultace,0,2,0,41.5,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
2025-06-01,https://www.myglobalhealth.online/service-page/migraine-consultation,0,30,0,51.833333333333336,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
2025-06-01,https://www.myglobalhealth.online/service-page/pain-management-consultation,0,15,0,17.133333333333333,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
2025-06-01,https://www.myglobalhealth.online/service-page/pediatrics-consultation,0,3,0,16,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
2025-06-01,https://www.myglobalhealth.online/service-page/psoriase-prescription,0,5,0,10.4,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
2025-06-01,https://www.myglobalhealth.online/service-page/same-day-all-dublin-except-d1-2-4-6-8,0,6,0,2.5,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
2025-06-01,https://www.myglobalhealth.online/service-page/same-day-delivery-dublin-1-2-4-6-and-8,0,5,0,1,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
2025-06-01,https://www.myglobalhealth.online/service-page/self-referral,0,16,0,2.8125,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
2025-06-01,https://www.myglobalhealth.online/service-page/sick-leave,0,12,0,3.4166666666666665,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
2025-06-01,https://www.myglobalhealth.online/services-1-4,0,1,0,1,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
2025-07-01,https://www.myglobalhealth.online/,30,320,0.09375,12.1625,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
