group_id,main_text_hash,url_count,duplicate_kind,languages,markets,page_types,indexability,median_word_count,impressions_W1,sample_title,urls,url_ids
DG-0001,1cc509b2c0961efcfaa109df8b2bf6922c98e4e47e071254897e61ebd0cecb27,12,cross-language same-market,cs|de|en|es|pt|ro,Portugal,checkout,noindex,39,0,Váš košík · Portugal · Global Health,https://www.myglobalhealth.online/portugal/cs/cart|https://www.myglobalhealth.online/portugal/cs/checkout|https://www.myglobalhealth.online/portugal/de/cart|https://www.myglobalhealth.online/portugal/de/checkout|https://www.myglobalhealth.online/portugal/en/cart|https://www.myglobalhealth.online/portugal/en/checkout|https://www.myglobalhealth.online/portugal/es/cart|https://www.myglobalhealth.online/portugal/es/checkout|https://www.myglobalhealth.online/portugal/pt/cart|https://www.myglobalhealth.online/portugal/pt/checkout|https://www.myglobalhealth.online/portugal/ro/cart|https://www.myglobalhealth.online/portugal/ro/checkout,U002606|U002607|U002696|U002697|U002787|U002788|U002877|U002878|U002983|U002984|U003074|U003075
DG-0002,4c1bc77b113d8b024eea1e04e887df1597e23c71e4bb6e2480eb8b0cceb9291a,12,cross-language same-market,cs|de|en|es|pt|ro,Romania,checkout,noindex,39,0,Váš košík · Romania · Global Health,https://www.myglobalhealth.online/romania/cs/cart|https://www.myglobalhealth.online/romania/cs/checkout|https://www.myglobalhealth.online/romania/de/cart|https://www.myglobalhealth.online/romania/de/checkout|https://www.myglobalhealth.online/romania/en/cart|https://www.myglobalhealth.online/romania/en/checkout|https://www.myglobalhealth.online/romania/es/cart|https://www.myglobalhealth.online/romania/es/checkout|https://www.myglobalhealth.online/romania/pt/cart|https://www.myglobalhealth.online/romania/pt/checkout|https://www.myglobalhealth.online/romania/ro/cart|https://www.myglobalhealth.online/romania/ro/checkout,U003682|U003683|U003749|U003750|U003816|U003817|U003883|U003884|U003950|U003951|U004016|U004017
DG-0006,de8ef4e9460ef426012b4fde28da08d3ac8cb2256975182c3f453397cb92e9d1,12,cross-language same-market,cs|de|en|es|pt|ro,Ireland,checkout,noindex,39,0,Váš košík · Ireland · Global Health,https://www.myglobalhealth.online/ireland/cs/cart|https://www.myglobalhealth.online/ireland/cs/checkout|https://www.myglobalhealth.online/ireland/de/cart|https://www.myglobalhealth.online/ireland/de/checkout|https://www.myglobalhealth.online/ireland/en/cart|https://www.myglobalhealth.online/ireland/en/checkout|https://www.myglobalhealth.online/ireland/es/cart|https://www.myglobalhealth.online/ireland/es/checkout|https://www.myglobalhealth.online/ireland/pt/cart|https://www.myglobalhealth.online/ireland/pt/checkout|https://www.myglobalhealth.online/ireland/ro/cart|https://www.myglobalhealth.online/ireland/ro/checkout,U001667|U001668|U001796|U001797|U001932|U001933|U002064|U002065|U002197|U002198|U002327|U002328
DG-0007,e9b7b6e07afcd44aabe223dc74089117657b16fbc6bd417ad5ad429e11f3af1e,12,cross-language same-market,cs|de|en|es|pt|ro,Spain,checkout,noindex,39,0,Váš košík · Spain · Global Health,https://www.myglobalhealth.online/spain/cs/cart|https://www.myglobalhealth.online/spain/cs/checkout|https://www.myglobalhealth.online/spain/de/cart|https://www.myglobalhealth.online/spain/de/checkout|https://www.myglobalhealth.online/spain/en/cart|https://www.myglobalhealth.online/spain/en/checkout|https://www.myglobalhealth.online/spain/es/cart|https://www.myglobalhealth.online/spain/es/checkout|https://www.myglobalhealth.online/spain/pt/cart|https://www.myglobalhealth.online/spain/pt/checkout|https://www.myglobalhealth.online/spain/ro/cart|https://www.myglobalhealth.online/spain/ro/checkout,U004148|U004149|U004231|U004232|U004314|U004315|U004396|U004397|U004481|U004482|U004564|U004565
DG-0008,ef4eaeff571c1f5f46598a1c8992821c9134126995d404c204b54892e72b9cd7,12,cross-language same-market,cs|de|en|es|pt|ro,Czechia,checkout,noindex,39,0,Váš košík · Czechia · Global Health,https://www.myglobalhealth.online/czechia/cs/cart|https://www.myglobalhealth.online/czechia/cs/checkout|https://www.myglobalhealth.online/czechia/de/cart|https://www.myglobalhealth.online/czechia/de/checkout|https://www.myglobalhealth.online/czechia/en/cart|https://www.myglobalhealth.online/czechia/en/checkout|https://www.myglobalhealth.online/czechia/es/cart|https://www.myglobalhealth.online/czechia/es/checkout|https://www.myglobalhealth.online/czechia/pt/cart|https://www.myglobalhealth.online/czechia/pt/checkout|https://www.myglobalhealth.online/czechia/ro/cart|https://www.myglobalhealth.online/czechia/ro/checkout,U000826|U000827|U000897|U000898|U000967|U000968|U001036|U001037|U001105|U001106|U001174|U001175
DG-0005,cee83aa8999d4de4e75231f239f960d6457f74c81c1018e9160856e0a10e14b7,6,cross-language same-market,en|es|pt,Brazil,checkout,noindex,39,0,Your cart · Brazil · Global Health,https://www.myglobalhealth.online/brazil/en/cart|https://www.myglobalhealth.online/brazil/en/checkout|https://www.myglobalhealth.online/brazil/es/cart|https://www.myglobalhealth.online/brazil/es/checkout|https://www.myglobalhealth.online/brazil/pt/cart|https://www.myglobalhealth.online/brazil/pt/checkout,U000313|U000314|U000375|U000376|U000437|U000438
DG-0003,623ac4339bb83de8d4391a340fa857e17b630e832c3bcdb5d985f580d48304e6,3,same-market same-language,(none),(global),unknown,noindex,39,0,Medical file access request · Global Health,https://www.myglobalhealth.online/access-request|https://www.myglobalhealth.online/cross-border-consent|https://www.myglobalhealth.online/pay-status,U000167|U000498|U002450
DG-0004,a6bf33a6fabb9524da630c676f45b7e4da33eaafd60dae7d953e79488642cfa6,2,same-market same-language,(none),(global),checkout,noindex,39,0,Returning to cart · Global Health,https://www.myglobalhealth.online/checkout/cancelled|https://www.myglobalhealth.online/checkout/success,U000493|U000494
