page,country,clicks,impressions,ctr,avg_position,truncated,refresh_id,source_timezone,source
https://www.myglobalhealth.online/ireland-doctors/dr-ahmed-maklad,irl,2,5,0.4,13,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
https://www.myglobalhealth.online/ireland-doctors/dr-andra-cristea,irl,2,6,0.3333333333333333,1.8333333333333335,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
https://www.myglobalhealth.online/ireland-specialist-consultations/gastroenterology-consultation,irl,2,15,0.13333333333333333,3.3333333333333335,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
https://www.myglobalhealth.online/portugal-doctors/dr-telmo-coelho,lux,2,53,0.03773584905660377,7.452830188679245,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
https://www.myglobalhealth.online/portugal/medical-certificate-for-driving-license,bel,2,6,0.3333333333333333,8.833333333333332,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
https://www.myglobalhealth.online/portugal/medical-certificate-for-driving-license,prt,2,52,0.038461538461538464,7.038461538461538,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
https://www.myglobalhealth.online/pt/portugal-doctors/dr-telmo-coelho,fra,2,57,0.03508771929824561,5.035087719298246,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
https://www.myglobalhealth.online/pt/portugal-doctors/dr-tiago-miguel-figueira,prt,2,41,0.04878048780487805,4.585365853658537,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
https://www.myglobalhealth.online/service-page/ie-medical-consultation,irl,2,249,0.008032128514056224,57.18473895582329,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
https://www.myglobalhealth.online/team-1/ana-filipa-gomes,prt,2,52,0.038461538461538464,5.9423076923076925,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
https://www.myglobalhealth.online/team-1/dr-tiago-miguel-figueira,prt,2,97,0.020618556701030927,3.9896907216494846,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
https://www.myglobalhealth.online/,aut,1,27,0.037037037037037035,6.481481481481482,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
https://www.myglobalhealth.online/,bel,1,31,0.03225806451612903,28.70967741935484,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
https://www.myglobalhealth.online/,bgd,1,16,0.0625,35.0625,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
https://www.myglobalhealth.online/,bgr,1,30,0.03333333333333333,18.366666666666667,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
https://www.myglobalhealth.online/,civ,1,6,0.16666666666666666,7.166666666666667,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
https://www.myglobalhealth.online/,com,1,1,1,1,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
https://www.myglobalhealth.online/,deu,1,77,0.012987012987012988,16.623376623376622,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
https://www.myglobalhealth.online/,fin,1,8,0.125,4.5,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance
