observed_at,source_domain,source_url,target_url,anchor,rel_attribute,link_status,first_seen,last_seen,provider,provider_metric_name,provider_metric_value,target_country,relevance,opportunity,evidence,resolved_target_url,resolved_http_status,rel_attributes_raw
2026-09-15,wix.to,https://wix.to/pJv73HI,https://www.myglobalhealth.online/booking-calendar/ro-consulta%C8%9Bie-de-nutri%C8%9Bie?utm_medium=page_links,,dofollow,live,2026-07-02,,DataForSEO via OpenSEO,domain_rank|spam_score,70|0,romania,directory,keep,seo/tracking/raw/2026-09-15/A7-market/backlinks-profile-as_is-page1.json,https://www.myglobalhealth.online/romania/ro/services/controlul-greutatii?utm_medium=page_links,200,
2026-09-15,wix.to,https://wix.to/SeJ6iCY,https://www.myglobalhealth.online/booking-calendar/ro-consulta%C8%9Bie-de-gastroenterologie?utm_medium=page_links,,dofollow,broken,2026-07-02,,DataForSEO via OpenSEO,domain_rank|spam_score,70|0,romania,directory,reclaim-broken,seo/tracking/raw/2026-09-15/A7-market/backlinks-profile-as_is-page1.json,https://www.myglobalhealth.online/romania/ro/book?utm_medium=page_links,200,
2026-09-15,wix.to,https://wix.to/yKxhwHS,https://www.myglobalhealth.online/booking-calendar/ro-consulta%C8%9Bie-de-fizioterapie?utm_medium=page_links,,dofollow,live,2026-07-02,,DataForSEO via OpenSEO,domain_rank|spam_score,70|0,romania,directory,keep,seo/tracking/raw/2026-09-15/A7-market/backlinks-profile-as_is-page1.json,https://www.myglobalhealth.online/romania/ro/services/dureri-musculo-scheletice?utm_medium=page_links,200,
2026-09-15,wix.to,https://wix.to/BESnhas,https://www.myglobalhealth.online/booking-calendar/ro-consulta%C8%9Bie-de-reumatologie?utm_medium=page_links,,dofollow,live,2026-07-02,,DataForSEO via OpenSEO,domain_rank|spam_score,70|0,romania,directory,update-legacy-target,seo/tracking/raw/2026-09-15/A7-market/backlinks-profile-as_is-page1.json,https://www.myglobalhealth.online/romania/ro/book?utm_medium=page_links,200,
2026-09-15,wix.to,https://wix.to/ixmANDP,https://www.myglobalhealth.online/booking-calendar/ro-consulta%C8%9Bie-de-imunoalergologie?utm_medium=page_links,,dofollow,live,2026-07-02,,DataForSEO via OpenSEO,domain_rank|spam_score,70|0,romania,directory,update-legacy-target,seo/tracking/raw/2026-09-15/A7-market/backlinks-profile-as_is-page1.json,https://www.myglobalhealth.online/romania/ro/book?utm_medium=page_links,200,
2026-09-15,wix.to,https://wix.to/kFtNFld,https://www.myglobalhealth.online/booking-calendar/ro-consulta%C8%9Bie-de-endocrinologie?utm_medium=page_links,,dofollow,broken,2026-07-02,,DataForSEO via OpenSEO,domain_rank|spam_score,70|0,romania,directory,reclaim-broken,seo/tracking/raw/2026-09-15/A7-market/backlinks-profile-as_is-page1.json,https://www.myglobalhealth.online/romania/ro/book?utm_medium=page_links,200,
2026-09-15,wix.to,https://wix.to/ZiXaPgM,https://www.myglobalhealth.online/booking-calendar/ro-consulta%C8%9Bie-de-cardiologie?utm_medium=page_links,,dofollow,live,2026-07-02,,DataForSEO via OpenSEO,domain_rank|spam_score,70|0,romania,directory,update-legacy-target,seo/tracking/raw/2026-09-15/A7-market/backlinks-profile-as_is-page1.json,https://www.myglobalhealth.online/romania/ro/book?utm_medium=page_links,200,
2026-09-15,wix.to,https://wix.to/wzx3izn,https://www.myglobalhealth.online/booking-calendar/ro-consulta%C8%9Bie-de-dermatologie?utm_medium=page_links,,dofollow,live,2026-07-02,,DataForSEO via OpenSEO,domain_rank|spam_score,70|0,romania,directory,keep,seo/tracking/raw/2026-09-15/A7-market/backlinks-profile-as_is-page1.json,https://www.myglobalhealth.online/romania/ro/services/consultatie-dermatologica?utm_medium=page_links,200,
2026-09-15,wix.to,https://wix.to/XhMapgv,https://www.myglobalhealth.online/booking-calendar/ro-consulta%C8%9Bie-de-genetic%C4%83?utm_medium=page_links,,dofollow,broken,2026-07-02,,DataForSEO via OpenSEO,domain_rank|spam_score,70|0,romania,directory,reclaim-broken,seo/tracking/raw/2026-09-15/A7-market/backlinks-profile-as_is-page1.json,https://www.myglobalhealth.online/romania/ro/book?utm_medium=page_links,200,
2026-09-15,wix.to,https://wix.to/iBsaILB,https://www.myglobalhealth.online/booking-calendar/ro-consulta%C8%9Bie-de-psihiatrie?utm_medium=page_links,,dofollow,live,2026-07-02,,DataForSEO via OpenSEO,domain_rank|spam_score,70|0,romania,directory,keep,seo/tracking/raw/2026-09-15/A7-market/backlinks-profile-as_is-page1.json,https://www.myglobalhealth.online/romania/ro/services/sanatate-mintala-online?utm_medium=page_links,200,
