url,locale,page_type,in_sitemap,gsc_clicks,gsc_impressions,gsc_ctr,gsc_position,inspection_verdict,coverage_state,last_crawl,google_canonical,user_canonical,page_fetch_state,notes
https://www.myglobalhealth.online/czechia/cs/services/kontrola-vahy-online,cs,service,yes,1,38,0.02631578947368421,25.57894736842105,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/cs/services/kozni-konzultace-praha,cs,service,yes,1,51,0.0196078431372549,16.431372549019606,PASS,Odesláno a indexováno,2026-08-23T17:01:36Z,https://www.myglobalhealth.online/czechia/cs/services/kozni-konzultace-praha,https://www.myglobalhealth.online/czechia/cs/services/kozni-konzultace-praha,SUCCESSFUL,Inspected 2026-08-31
https://www.myglobalhealth.online/czechia/cs/services/lekar-online-praha,cs,service,yes,0,35,0,7.628571428571429,PASS,Odesláno a indexováno,2026-08-16T12:18:22Z,https://www.myglobalhealth.online/czechia/cs/services/lekar-online-praha,https://www.myglobalhealth.online/czechia/cs/services/lekar-online-praha,SUCCESSFUL,Inspected 2026-08-31
https://www.myglobalhealth.online/czechia/cs/services/muzske-zdravi-online,cs,service,yes,9,40,0.225,2.125,PASS,Odesláno a indexováno,2026-08-02T16:56:53Z,https://www.myglobalhealth.online/czechia/cs/services/muzske-zdravi-online,https://www.myglobalhealth.online/czechia/cs/services/muzske-zdravi-online,SUCCESSFUL,Inspected 2026-08-31
https://www.myglobalhealth.online/czechia/cs/services/neschopenka-online,cs,service,yes,4,43,0.09302325581395349,16.74418604651163,PASS,Odesláno a indexováno,2026-07-21T17:11:29Z,https://www.myglobalhealth.online/czechia/cs/services/neschopenka-online,,SUCCESSFUL,Inspected 2026-08-31
https://www.myglobalhealth.online/czechia/cs/services/obnoveni-lecby,cs,service,yes,5,56,0.08928571428571429,6.821428571428571,PASS,Odesláno a indexováno,2026-07-19T22:35:56Z,https://www.myglobalhealth.online/czechia/cs/services/obnoveni-lecby,https://www.myglobalhealth.online/czechia/cs/services/obnoveni-lecby,SUCCESSFUL,Inspected 2026-08-31
https://www.myglobalhealth.online/czechia/cs/services/vypadavani-vlasu-online,cs,service,yes,0,5,0,59.8,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/cs/services/zenske-zdravi-online,cs,service,yes,,,,,NEUTRAL,Objeveno – momentálně neindexováno,,,,PAGE_FETCH_STATE_UNSPECIFIED,Inspected 2026-08-31
https://www.myglobalhealth.online/czechia/cs/tools/adhd-test,cs,tool,yes,12,313,0.038338658146964855,10.79552715654952,PASS,Odesláno a indexováno,2026-08-30T07:48:47Z,https://www.myglobalhealth.online/czechia/cs/tools/adhd-test,https://www.myglobalhealth.online/czechia/cs/tools/adhd-test,SUCCESSFUL,Inspected 2026-08-31
https://www.myglobalhealth.online/czechia/cs/tools/blood-pressure-chart,cs,tool,yes,11,681,0.016152716593245228,10.348017621145374,PASS,Odesláno a indexováno,2026-08-30T20:12:21Z,https://www.myglobalhealth.online/czechia/cs/tools/blood-pressure-chart,https://www.myglobalhealth.online/czechia/cs/tools/blood-pressure-chart,SUCCESSFUL,Inspected 2026-08-31
