"url","locale","resolved_locale","native_api","native_html","schema","embedded_sections","embedded_questions","equivalent","source","source_fingerprint"
"https://www.myglobalhealth.online/brazil/es/services/pediatria-online","es","ES","8","8","8","0","0","true","raw/api/services-pediatria-online-ES.json","daa00fd857bf9ccd10804dcfb915a25fc4de7d114eca76760a836280f9948592"
"https://www.myglobalhealth.online/brazil/es/services/queda-cabelo-online","es","ES","8","8","8","0","0","true","raw/api/services-queda-cabelo-online-ES.json","e16ffd8c7a9d4fd9e76cf9a3b6c4553ae9f729f2c7c5a71f7ba0fda17511ece2"
"https://www.myglobalhealth.online/brazil/es/services/renovacao-receita-online","es","ES","8","8","8","0","0","true","raw/api/services-renovacao-receita-online-ES.json","d8f4c6dd88aa6961faf263eaaf7d8529afb8d03f11b2d157e765002fddc38b2c"
"https://www.myglobalhealth.online/brazil/es/services/saude-da-mulher-online","es","ES","8","8","8","0","0","true","raw/api/services-saude-da-mulher-online-ES.json","727b6d9459958abc59fb74dbe8db2f8b454122e5f85f533678bdd10ec871d4b7"
"https://www.myglobalhealth.online/brazil/es/services/saude-do-homem-online","es","ES","8","8","8","0","0","true","raw/api/services-saude-do-homem-online-ES.json","8a9987f6fe4048f9582f116565519f30ae8911e14986b95645e7879c393abc65"
"https://www.myglobalhealth.online/brazil/es/services/saude-idoso-online","es","ES","9","9","9","0","0","true","raw/api/services-saude-idoso-online-ES.json","1214f112dbae6fdfdde200c3f5d206c9cb41f81700ac793854f35a9aa30cc493"
"https://www.myglobalhealth.online/brazil/es/services/saude-mental-online","es","ES","9","9","9","0","0","true","raw/api/services-saude-mental-online-ES.json","4fac08c55d2dd9f0dc80684e0b6b1bc1718db7ef4b66f715e007533b21cb69d6"
"https://www.myglobalhealth.online/brazil/es/services/saude-sexual-ist-online","es","ES","10","10","10","0","0","true","raw/api/services-saude-sexual-ist-online-ES.json","638e12563044c24478c5ae44625bd809ce8bb9b396810fcbbbf9de2e3fdd9587"
"https://www.myglobalhealth.online/brazil/es/services/saude-viagem-online","es","ES","8","8","8","0","0","true","raw/api/services-saude-viagem-online-ES.json","ea7c710e6d9c382b3a5c80057532c4529a83029d4e5047985fba312e355f5dd3"
"https://www.myglobalhealth.online/brazil/es/services/segunda-opiniao-medica","es","ES","8","8","8","0","0","true","raw/api/services-segunda-opiniao-medica-ES.json","7ee645511f6923900e1140f5a6c2cf8a85cbce013737c7d7dcecc9625baa0fdb"
"https://www.myglobalhealth.online/brazil/es/services/solicitacao-exames-online","es","ES","8","8","8","0","0","true","raw/api/services-solicitacao-exames-online-ES.json","8581244368ca6f38f6d152efcdc89d78e9c5f9907408a61b3d3792169de9c0d6"
"https://www.myglobalhealth.online/brazil/pt/doctors/dr-renato-sarmento","pt","PT","6","6","6","0","0","true","raw/api/doctors-dr-renato-sarmento-PT.json","f8ecb9dad8c3860828b7bcb20c0065dfb498914b3205d2919a105f013f8ec22d"
"https://www.myglobalhealth.online/brazil/pt/services/atestado-medico-online","pt","PT","8","8","8","0","0","true","raw/api/services-atestado-medico-online-PT.json","f81f8fcc2abff58e51e614a850456908d22c42b1de7b42035079917553d155c5"
"https://www.myglobalhealth.online/brazil/pt/services/consulta-clinica-online","pt","PT","9","9","9","0","0","true","raw/api/services-consulta-clinica-online-PT.json","26f2ab0aa094aee86e46d69df46cf860ad685a7cc329bfc182e0e93648e8ea8d"
"https://www.myglobalhealth.online/brazil/pt/services/consulta-pele-online","pt","PT","7","7","7","0","0","true","raw/api/services-consulta-pele-online-PT.json","964be9c3eb5650558caf06997c686ad9cc811699fe1f101e71c88253807db1d1"
"https://www.myglobalhealth.online/brazil/pt/services/controle-peso-online","pt","PT","8","8","8","0","0","true","raw/api/services-controle-peso-online-PT.json","7e6ddc378510a7657d58b8058043263141cdee9b6b955894da8a1b80be3f577a"
"https://www.myglobalhealth.online/brazil/pt/services/doencas-cronicas-online","pt","PT","9","9","9","0","0","true","raw/api/services-doencas-cronicas-online-PT.json","08d4ffd815a75fa306a97d86c81002b34fce35a7c848aa4d0d5e96ccc21bb0fc"
"https://www.myglobalhealth.online/brazil/pt/services/musculoesqueletico-online","pt","PT","8","8","8","0","0","true","raw/api/services-musculoesqueletico-online-PT.json","00e2c8285adef1275ab10f979b424cf83d01921db9e5571aa67fec44799c0c65"
"https://www.myglobalhealth.online/brazil/pt/services/parar-de-fumar-online","pt","PT","9","9","9","0","0","true","raw/api/services-parar-de-fumar-online-PT.json","005dfbc303e0c07ff183d2d9162557cd176d0570e19f9b7eb5b2082375d48f52"
"https://www.myglobalhealth.online/brazil/pt/services/pediatria-online","pt","PT","8","8","8","0","0","true","raw/api/services-pediatria-online-PT.json","a8177834601a2350a85169ee610b07f376bcb8661689b8e49f16ece0d2d933ae"
"https://www.myglobalhealth.online/brazil/pt/services/queda-cabelo-online","pt","PT","8","8","8","0","0","true","raw/api/services-queda-cabelo-online-PT.json","3a36f7a8ec610e34d6106a24c507bc6ce7d11617497f50d927902c9c31d81e92"
"https://www.myglobalhealth.online/brazil/pt/services/renovacao-receita-online","pt","PT","8","8","8","0","0","true","raw/api/services-renovacao-receita-online-PT.json","51bee62ac69f707f10f6e2aa12d0c5243fb61644c3b97d6f128545b6cb161e30"
"https://www.myglobalhealth.online/brazil/pt/services/saude-da-mulher-online","pt","PT","8","8","8","0","0","true","raw/api/services-saude-da-mulher-online-PT.json","2fbb78f4801c0f5341d8e57addf51c8d8ba111a1b9c1fa1281257d3573d5f9ac"
"https://www.myglobalhealth.online/brazil/pt/services/saude-do-homem-online","pt","PT","8","8","8","0","0","true","raw/api/services-saude-do-homem-online-PT.json","09b1859c2d829112c7109f3f8cbdc4cd7222c3b502a367ebc96b35940b0fbf6a"
"https://www.myglobalhealth.online/brazil/pt/services/saude-idoso-online","pt","PT","9","9","9","0","0","true","raw/api/services-saude-idoso-online-PT.json","ef6bb846a51a20752f354d5617f96377c2d24cd8eb407a3a7c33ee22a5436b0b"
"https://www.myglobalhealth.online/brazil/pt/services/saude-mental-online","pt","PT","9","9","9","0","0","true","raw/api/services-saude-mental-online-PT.json","9871f963e18231808423eb512d88cb6927276fd94bf1e9bc511d7937d5cc2a76"
"https://www.myglobalhealth.online/brazil/pt/services/saude-sexual-ist-online","pt","PT","10","10","10","0","0","true","raw/api/services-saude-sexual-ist-online-PT.json","a3a7ef546f977456c92d050c5472f8dfbbddabb754d9bbb1dad7834cd21decb6"
"https://www.myglobalhealth.online/brazil/pt/services/saude-viagem-online","pt","PT","8","8","8","0","0","true","raw/api/services-saude-viagem-online-PT.json","a55f916890ca302347f0b0a3f720f0ab2fc20fa1e4e65e81ac266c54e5155451"
"https://www.myglobalhealth.online/brazil/pt/services/segunda-opiniao-medica","pt","PT","8","8","8","0","0","true","raw/api/services-segunda-opiniao-medica-PT.json","cbd46223a2e672db7314fb409124d6ac0606c5617db32054b02cd8406f481a7d"
"https://www.myglobalhealth.online/brazil/pt/services/solicitacao-exames-online","pt","PT","8","8","8","0","0","true","raw/api/services-solicitacao-exames-online-PT.json","33bc4b3f177f412b68b8f61b6f0be3e6fed8600aa5b8e869b575fce605d43bd8"
"https://www.myglobalhealth.online/brazil/en/faq","en","","code-owned country groups","tab renderer; not details","18","0","0","same code-owned groups feed tabs/schema; PT browser checked","frontend/locales/{en,pt}/faq-markets.json","5eca72642d73bedb8e3a98acc3f623dd37d57380d75170d2bcb8dc37af8c7510"
"https://www.myglobalhealth.online/brazil/es/faq","es","","code-owned country groups","tab renderer; not details","18","0","0","same code-owned groups feed tabs/schema; PT browser checked","frontend/locales/{en,pt}/faq-markets.json","120357f00a9137ec107e75e02e02d50eadba536106cf8b2ebab2cdb3f375b651"
"https://www.myglobalhealth.online/brazil/pt/faq","pt","","code-owned country groups","tab renderer; not details","18","0","0","same code-owned groups feed tabs/schema; PT browser checked","frontend/locales/{en,pt}/faq-markets.json","83b1f9ce5e0d5755717fac5c0445d670599ced16635730dae0a330abf534c9a6"
