"domain","url","title","ranking_keyword_count","best_position","estimated_traffic","keyword_search_volume_sum","top_keywords","source","collected_at"
"cuf.pt","https://www.cuf.pt/hospitais-e-clinicas/clinica-cuf-estadio-jose-alvalade-lisboa","Clínica CUF Estádio José Alvalade - Lisboa","3","1","11035.2","36300","clínica cuf alvalade | cuf alvalade | cuf alvalade clínica","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"cuf.pt","https://www.cuf.pt/hospitais-e-clinicas/clinica-cuf-belem","Clínica CUF Belém - Lisboa","2","1","8998.4","29600","clínica cuf belém | cuf belem","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"cuf.pt","https://www.cuf.pt/hospitais-e-clinicas/hospital-cuf-torres-vedras","Hospital CUF Torres Vedras","2","1","8998.4","29600","cuf torres | torres vedras cuf","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"hospitaldaluz.pt","https://www.hospitaldaluz.pt/pt/especialidades/psicologia","Psicologia: consultas","2","2","8998.4","29600","psicologias | psicologo","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"cuf.pt","https://www.cuf.pt/hospitais-e-clinicas/hospital-cuf-sintra","Hospital CUF Sintra","2","1","8177.6","26900","cuf sintra | hospital cuf sintra","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"hospitaldaluz.pt","https://www.hospitaldaluz.pt/guimaraes/pt/","Hospital da Luz Guimarães","3","1","7210","26800","hospital da luz guimarães | hospitais em guimarães | hospital guimaraes","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"hospitaldaluz.pt","https://www.hospitaldaluz.pt/pt/saude-e-bem-estar/percevejos-conheca-os-e-previna-infestacoes","Percevejos: conheça-os e previna infestações","2","4","7192.8","44400","percevejo | percevejos","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"hospitaldaluz.pt","https://www.hospitaldaluz.pt/arrabida/pt/","Hospital da Luz Arrábida","2","1","7144","23500","hospital da luz arrabida | hospital da arrabida","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"medis.pt","https://www.medis.pt/login/","Login na área de cliente","4","1","6779.2","22300","medis login | medis seguro | médis seguros | médis login","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"cuf.pt","https://www.cuf.pt/saude-a-z/hemorroidas","Hemorroidas: o que é, sintomas e tratamento","1","2","6748.8","22200","hemorroidas","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"hospitaldaluz.pt","https://www.hospitaldaluz.pt/coimbra/pt/","Hospital da Luz Coimbra","1","1","6748.8","22200","hospital da luz coimbra","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"lusiadas.pt","https://www.lusiadas.pt/blog/nutricao-dieta/magnesio-para-que-serve-onde-obter","Magnésio: para que serve e onde obter","1","2","6748.8","22200","magnesio","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"cuf.pt","https://www.cuf.pt/mais-saude/o-que-e-zona-e-quais-os-sintomas","O que é Zona e quais os sintomas?","2","2","6688","22000","doença da zona | zona","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"lusiadas.pt","https://www.lusiadas.pt/hospitais-clinicas/hospital-lusiadas-braga","Hospital Lusíadas Braga","3","1","6532.16","51800","hospital lusíadas braga | lusiadas braga | hospital de braga","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
