"url","locale","resolved_locale","kind","service","bookability","reason","next_available_at","doctors","consultation_languages","price_cents","duration","registry_issue","source"
"https://www.myglobalhealth.online/spain/en/services/consulta-piel-online","en","EN","GENERAL","consulta-piel-online","BOOKABLE","","2026-09-13T06:19:00.000Z","Dra. Luz Marina Zuluaga Ríos | Dra. María Fernanda Ocampo Mora | Dr. Eduardo Daniel Rodríguez Olivas | Dr. Rómulo Andrés Brito González | Dr. Syed Tahir","Dra. Luz Marina Zuluaga Ríos: Spanish | Dra. María Fernanda Ocampo Mora: Spanish | Dr. Eduardo Daniel Rodríguez Olivas: Spanish, English | Dr. Rómulo Andrés Brito González: Spanish | Dr. Syed Tahir: Spanish, English, Hindi, Urdu, Dutch","4500","15","Luz: CGCOM alta sin ejercicio; operations clarification required","raw/api/services-consulta-piel-online-EN.json"
"https://www.myglobalhealth.online/spain/en/services/consulta-salud-vascular-circulatoria","en","EN","GENERAL","consulta-salud-vascular-circulatoria","BOOKABLE","","2026-09-13T12:08:00.000Z","Dra. Eszter Szilágyi","Dra. Eszter Szilágyi: Spanish, English, Hungarian, German","7500","20","","raw/api/services-consulta-salud-vascular-circulatoria-EN.json"
"https://www.myglobalhealth.online/spain/en/services/control-peso-online","en","EN","GENERAL","control-peso-online","BOOKABLE","","2026-09-13T06:19:00.000Z","Dra. Eszter Szilágyi | Dra. Luz Marina Zuluaga Ríos | Dra. María Fernanda Ocampo Mora | Dr. Eduardo Daniel Rodríguez Olivas | Dr. Rómulo Andrés Brito González | Dr. Syed Tahir","Dra. Eszter Szilágyi: Spanish, English, Hungarian, German | Dra. Luz Marina Zuluaga Ríos: Spanish | Dra. María Fernanda Ocampo Mora: Spanish | Dr. Eduardo Daniel Rodríguez Olivas: Spanish, English | Dr. Rómulo Andrés Brito González: Spanish | Dr. Syed Tahir: Spanish, English, Hindi, Urdu, Dutch","4500","15","Luz: CGCOM alta sin ejercicio; operations clarification required","raw/api/services-control-peso-online-EN.json"
"https://www.myglobalhealth.online/spain/en/services/dejar-de-fumar-online","en","EN","GENERAL","dejar-de-fumar-online","BOOKABLE","","2026-09-13T06:19:00.000Z","Dra. Luz Marina Zuluaga Ríos | Dra. María Fernanda Ocampo Mora | Dr. Eduardo Daniel Rodríguez Olivas | Dr. Rómulo Andrés Brito González | Dr. Syed Tahir","Dra. Luz Marina Zuluaga Ríos: Spanish | Dra. María Fernanda Ocampo Mora: Spanish | Dr. Eduardo Daniel Rodríguez Olivas: Spanish, English | Dr. Rómulo Andrés Brito González: Spanish | Dr. Syed Tahir: Spanish, English, Hindi, Urdu, Dutch","3900","15","Luz: CGCOM alta sin ejercicio; operations clarification required","raw/api/services-dejar-de-fumar-online-EN.json"
"https://www.myglobalhealth.online/spain/en/services/derivaciones-pruebas-online","en","EN","GENERAL","derivaciones-pruebas-online","BOOKABLE","","2026-09-13T06:19:00.000Z","Dra. Luz Marina Zuluaga Ríos | Dra. María Fernanda Ocampo Mora | Dr. Eduardo Daniel Rodríguez Olivas | Dr. Rómulo Andrés Brito González | Dr. Syed Tahir","Dra. Luz Marina Zuluaga Ríos: Spanish | Dra. María Fernanda Ocampo Mora: Spanish | Dr. Eduardo Daniel Rodríguez Olivas: Spanish, English | Dr. Rómulo Andrés Brito González: Spanish | Dr. Syed Tahir: Spanish, English, Hindi, Urdu, Dutch","3500","15","Luz: CGCOM alta sin ejercicio; operations clarification required","raw/api/services-derivaciones-pruebas-online-EN.json"
"https://www.myglobalhealth.online/spain/en/services/dermatologia-especialista-online","en","EN","SPECIALIST","dermatologia-especialista-online","BOOKABLE","","2026-09-14T08:14:00.000Z","Dr. Alfredo del Valle Moreno Montañez","Dr. Alfredo del Valle Moreno Montañez: Spanish, English","7000","15","","raw/api/services-dermatologia-especialista-online-EN.json"
"https://www.myglobalhealth.online/spain/en/services/enfermedades-cronicas-online","en","EN","GENERAL","enfermedades-cronicas-online","BOOKABLE","","2026-09-13T06:19:00.000Z","Dra. Luz Marina Zuluaga Ríos | Dra. María Fernanda Ocampo Mora | Dr. Eduardo Daniel Rodríguez Olivas | Dr. Rómulo Andrés Brito González | Dr. Syed Tahir","Dra. Luz Marina Zuluaga Ríos: Spanish | Dra. María Fernanda Ocampo Mora: Spanish | Dr. Eduardo Daniel Rodríguez Olivas: Spanish, English | Dr. Rómulo Andrés Brito González: Spanish | Dr. Syed Tahir: Spanish, English, Hindi, Urdu, Dutch","4500","20","Luz: CGCOM alta sin ejercicio; operations clarification required","raw/api/services-enfermedades-cronicas-online-EN.json"
"https://www.myglobalhealth.online/spain/en/services/justificante-medico-online","en","EN","GENERAL","justificante-medico-online","BOOKABLE","","2026-09-13T06:19:00.000Z","Dra. Luz Marina Zuluaga Ríos | Dra. María Fernanda Ocampo Mora | Dr. Eduardo Daniel Rodríguez Olivas | Dr. Rómulo Andrés Brito González | Dr. Syed Tahir","Dra. Luz Marina Zuluaga Ríos: Spanish | Dra. María Fernanda Ocampo Mora: Spanish | Dr. Eduardo Daniel Rodríguez Olivas: Spanish, English | Dr. Rómulo Andrés Brito González: Spanish | Dr. Syed Tahir: Spanish, English, Hindi, Urdu, Dutch","3500","15","Luz: CGCOM alta sin ejercicio; operations clarification required","raw/api/services-justificante-medico-online-EN.json"
"https://www.myglobalhealth.online/spain/en/services/medicina-viaje-online","en","EN","GENERAL","medicina-viaje-online","BOOKABLE","","2026-09-13T06:19:00.000Z","Dra. Luz Marina Zuluaga Ríos | Dra. María Fernanda Ocampo Mora | Dr. Eduardo Daniel Rodríguez Olivas | Dr. Rómulo Andrés Brito González | Dr. Syed Tahir","Dra. Luz Marina Zuluaga Ríos: Spanish | Dra. María Fernanda Ocampo Mora: Spanish | Dr. Eduardo Daniel Rodríguez Olivas: Spanish, English | Dr. Rómulo Andrés Brito González: Spanish | Dr. Syed Tahir: Spanish, English, Hindi, Urdu, Dutch","4900","15","Luz: CGCOM alta sin ejercicio; operations clarification required","raw/api/services-medicina-viaje-online-EN.json"
"https://www.myglobalhealth.online/spain/en/services/musculoesqueletico-online","en","EN","GENERAL","musculoesqueletico-online","BOOKABLE","","2026-09-13T06:19:00.000Z","Dra. Luz Marina Zuluaga Ríos | Dra. María Fernanda Ocampo Mora | Dr. Eduardo Daniel Rodríguez Olivas | Dr. Rómulo Andrés Brito González | Dr. Syed Tahir","Dra. Luz Marina Zuluaga Ríos: Spanish | Dra. María Fernanda Ocampo Mora: Spanish | Dr. Eduardo Daniel Rodríguez Olivas: Spanish, English | Dr. Rómulo Andrés Brito González: Spanish | Dr. Syed Tahir: Spanish, English, Hindi, Urdu, Dutch","3900","15","Luz: CGCOM alta sin ejercicio; operations clarification required","raw/api/services-musculoesqueletico-online-EN.json"
