"url","locale","page_type","discovery","http_status","canonical","robots"
"https://www.myglobalhealth.online/spain/pt/services/salud-mental-online","pt","service","sitemap","200","https://www.myglobalhealth.online/spain/pt/services/salud-mental-online","index, follow"
"https://www.myglobalhealth.online/spain/pt/services/segunda-opinion-medica","pt","service","sitemap","200","https://www.myglobalhealth.online/spain/pt/services/segunda-opinion-medica","index, follow"
"https://www.myglobalhealth.online/spain/pt/tools/adhd-test","pt","tool","sitemap","200","https://www.myglobalhealth.online/spain/pt/tools/adhd-test","index, follow"
"https://www.myglobalhealth.online/spain/pt/tools/blood-pressure-chart","pt","tool","sitemap","200","https://www.myglobalhealth.online/spain/pt/tools/blood-pressure-chart","index, follow"
"https://www.myglobalhealth.online/spain/pt/tools/bmi-calculator","pt","tool","sitemap","200","https://www.myglobalhealth.online/spain/pt/tools/bmi-calculator","index, follow"
"https://www.myglobalhealth.online/spain/pt/tools/calorie-calculator","pt","tool","sitemap","200","https://www.myglobalhealth.online/spain/pt/tools/calorie-calculator","index, follow"
"https://www.myglobalhealth.online/spain/pt/tools/due-date-calculator","pt","tool","sitemap","200","https://www.myglobalhealth.online/spain/pt/tools/due-date-calculator","index, follow"
"https://www.myglobalhealth.online/spain/pt/tools/osteoporosis-risk-checker","pt","tool","sitemap","200","https://www.myglobalhealth.online/spain/pt/tools/osteoporosis-risk-checker","index, follow"
"https://www.myglobalhealth.online/spain/pt/tools/ovulation-calculator","pt","tool","sitemap","200","https://www.myglobalhealth.online/spain/pt/tools/ovulation-calculator","index, follow"
"https://www.myglobalhealth.online/spain/pt/tools/sore-throat-checker","pt","tool","sitemap","200","https://www.myglobalhealth.online/spain/pt/tools/sore-throat-checker","index, follow"
"https://www.myglobalhealth.online/spain/ro","ro","home","sitemap","200","https://www.myglobalhealth.online/spain/ro","index, follow"
"https://www.myglobalhealth.online/spain/ro/about","ro","about","sitemap","200","https://www.myglobalhealth.online/spain/ro/about","index, follow"
"https://www.myglobalhealth.online/spain/ro/blog","ro","blog","sitemap","200","https://www.myglobalhealth.online/spain/ro/blog","index, follow"
