timestamp,total_connections,active,idle,idle_in_transaction,longest_query_seconds,waiting_on_lock
2026-08-13 19:34:23.17077+00,11,1,10,0,0.7,0
2026-08-13 19:34:30.336106+00,11,1,10,0,0.9,0
2026-08-13 19:34:38.071393+00,11,1,10,0,0.5,0
2026-08-13 19:34:45.177057+00,11,1,10,0,2.6,0
2026-08-13 19:34:52.863647+00,11,1,10,0,0.1,0
2026-08-13 19:35:00.105359+00,11,1,9,1,0.4,0
2026-08-13 19:35:07.033592+00,11,1,10,0,0.3,0
2026-08-13 19:35:14.226316+00,11,1,10,0,0.9,0
2026-08-13 19:35:21.249604+00,11,1,10,0,2.1,0
2026-08-13 19:35:28.345854+00,11,1,10,0,1.1,0
2026-08-13 19:35:35.456878+00,11,1,10,0,0.0,0
2026-08-13 19:35:42.53327+00,11,1,10,0,1.6,0
2026-08-13 19:35:49.484862+00,11,1,10,0,2.8,0
2026-08-13 19:35:56.537474+00,11,1,10,0,0.1,0
2026-08-13 19:36:03.571788+00,11,2,9,0,1.3,0
2026-08-13 19:36:10.527679+00,11,1,10,0,1.0,0
2026-08-13 19:36:17.572087+00,11,2,9,0,0.5,0
2026-08-13 19:36:24.523372+00,11,1,10,0,1.7,0
2026-08-13 19:36:31.566042+00,11,1,10,0,1.6,0
2026-08-13 19:36:38.920648+00,11,1,10,0,0.9,0
2026-08-13 19:36:46.016492+00,11,1,10,0,0.5,0
2026-08-13 19:36:53.092119+00,11,1,10,0,5.0,0
2026-08-13 19:37:00.062739+00,11,3,8,0,0.4,0
2026-08-13 19:37:07.113713+00,11,1,10,0,3.2,0
2026-08-13 19:37:14.178588+00,11,2,9,0,4.3,0
2026-08-13 19:37:21.177141+00,11,1,10,0,0.1,0
2026-08-13 19:37:28.166481+00,11,1,10,0,6.8,0
2026-08-13 19:37:35.288843+00,11,1,10,0,13.9,0
2026-08-13 19:37:42.435863+00,11,1,10,0,21.1,0
2026-08-13 19:37:49.596504+00,11,1,10,0,28.2,0
2026-08-13 19:37:56.572964+00,10,1,9,0,17.0,0
2026-08-13 19:38:03.558859+00,10,1,9,0,23.9,0
2026-08-13 19:38:10.520811+00,7,1,6,0,27.3,0
