timestamp,total_connections,active,idle,idle_in_transaction,longest_query_seconds,waiting_on_lock
2026-08-13 19:51:06.756682+00,11,1,10,0,0.8,0
2026-08-13 19:51:13.767719+00,11,1,10,0,0.9,0
2026-08-13 19:51:21.557322+00,11,1,10,0,0.1,0
2026-08-13 19:51:28.536858+00,11,1,10,0,1.1,0
2026-08-13 19:51:36.270442+00,11,1,10,0,0.0,0
2026-08-13 19:51:44.258484+00,11,1,10,0,0.4,0
2026-08-13 19:51:51.169909+00,11,1,10,0,0.7,0
2026-08-13 19:51:58.531225+00,11,1,10,0,0.9,0
2026-08-13 19:52:05.577992+00,11,1,10,0,0.2,0
2026-08-13 19:52:13.348967+00,11,1,9,1,0.2,0
2026-08-13 19:52:20.76363+00,11,1,10,0,0.4,0
2026-08-13 19:52:29.209121+00,11,1,10,0,0.6,0
2026-08-13 19:52:36.517568+00,11,1,10,0,1.7,0
2026-08-13 19:52:43.57526+00,11,1,10,0,0.7,0
2026-08-13 19:52:50.556417+00,11,1,10,0,0.2,0
2026-08-13 19:52:58.484333+00,11,1,10,0,1.4,0
2026-08-13 19:53:06.218945+00,11,1,10,0,0.3,0
2026-08-13 19:53:13.619022+00,11,1,10,0,0.9,0
2026-08-13 19:53:20.840951+00,11,1,10,0,0.9,0
2026-08-13 19:53:28.434089+00,11,1,10,0,0.4,0
2026-08-13 19:53:42.117178+00,11,1,10,0,0.8,0
2026-08-13 19:53:49.161185+00,11,1,10,0,0.5,0
2026-08-13 19:53:56.841538+00,11,1,10,0,1.2,0
2026-08-13 19:54:04.972464+00,11,1,9,1,1.0,0
2026-08-13 19:54:14.165932+00,11,2,9,0,0.5,0
2026-08-13 19:54:21.795204+00,11,1,10,0,0.3,0
2026-08-13 19:54:28.810939+00,11,1,10,0,0.3,0
2026-08-13 19:54:35.920738+00,11,2,9,0,0.7,0
2026-08-13 19:54:45.53852+00,11,1,10,0,1.9,0
2026-08-13 19:54:53.020767+00,11,1,10,0,0.4,0
2026-08-13 19:55:00.345943+00,11,1,10,0,0.2,0
2026-08-13 19:55:07.971432+00,11,1,10,0,0.6,0
2026-08-13 19:55:15.321105+00,11,1,10,0,0.0,0
2026-08-13 19:55:22.469964+00,11,1,10,0,1.3,0
2026-08-13 19:55:29.952783+00,11,1,10,0,0.7,0
2026-08-13 19:55:37.29186+00,11,1,10,0,0.5,0
2026-08-13 19:55:45.129682+00,11,1,10,0,0.9,0
2026-08-13 19:55:53.643096+00,11,1,10,0,0.2,0
2026-08-13 19:56:01.590683+00,11,1,10,0,0.1,0
2026-08-13 19:56:08.784655+00,11,1,10,0,0.3,0
2026-08-13 19:56:15.762525+00,11,2,9,0,1.5,0
2026-08-13 19:56:22.780339+00,11,1,10,0,1.4,0
2026-08-13 19:56:29.771243+00,11,1,10,0,0.3,0
2026-08-13 19:56:36.880725+00,11,2,9,0,0.8,0
2026-08-13 19:56:44.093487+00,11,1,10,0,0.4,0
2026-08-13 19:56:51.115651+00,11,1,10,0,0.1,0
2026-08-13 19:56:58.760356+00,11,1,10,0,0.1,0
2026-08-13 19:57:05.767771+00,11,1,10,0,0.0,0
2026-08-13 19:57:13.302871+00,11,1,10,0,0.3,0
2026-08-13 19:57:21.356223+00,11,1,9,1,0.1,0
2026-08-13 19:57:28.372512+00,11,1,10,0,0.5,0
2026-08-13 19:57:35.535399+00,11,1,10,0,0.7,0
2026-08-13 19:57:43.049911+00,11,1,10,0,2.1,0
2026-08-13 19:57:50.062459+00,11,1,10,0,0.1,0
2026-08-13 19:57:57.280325+00,11,2,9,0,0.2,0
2026-08-13 19:58:04.587725+00,11,1,10,0,1.0,0
2026-08-13 19:58:12.912277+00,11,1,10,0,0.3,0
2026-08-13 19:58:21.38811+00,11,1,10,0,0.6,0
2026-08-13 19:58:28.536188+00,11,1,10,0,1.5,0
2026-08-13 19:58:35.689841+00,11,1,10,0,0.4,0
2026-08-13 19:58:42.693822+00,11,1,10,0,1.1,0
2026-08-13 19:58:50.126552+00,11,1,10,0,0.3,0
2026-08-13 19:58:57.647154+00,11,1,10,0,1.0,0
2026-08-13 19:59:04.956397+00,11,1,10,0,0.2,0
2026-08-13 19:59:12.729307+00,11,1,10,0,0.0,0
2026-08-13 19:59:20.025414+00,11,1,10,0,0.9,0
2026-08-13 19:59:27.287575+00,11,1,10,0,0.4,0
2026-08-13 19:59:34.721488+00,11,1,10,0,3.7,0
2026-08-13 19:59:42.06712+00,11,1,10,0,0.1,0
2026-08-13 19:59:50.251975+00,11,1,10,0,0.0,0
2026-08-13 19:59:57.219968+00,11,1,10,0,0.0,0
2026-08-13 20:00:04.241477+00,11,1,10,0,0.3,0
2026-08-13 20:00:11.418895+00,11,1,10,0,0.0,0
2026-08-13 20:00:18.710181+00,11,1,10,0,0.3,0
