rule_order_index,source,destination,permanent,statusCode,has,missing,locale
558,/home-health-tests-1/:slug,/ireland/en/lab-tests,True,,,,
559,/post/diabetes-a-silent-disease,/ireland/en/blog/diabetes-a-silent-disease,True,,,,
560,/post/hand-foot-and-mouth-disease,/ireland/en/blog/hand-foot-and-mouth-disease-signs-and-treatment,True,,,,
561,/post/hand-foot-and-mouth-disease-signs-and-treatment,/ireland/en/blog/hand-foot-and-mouth-disease-signs-and-treatment,True,,,,
562,/post/when-to-see-a-gp-online-vs-in-person,/ireland/en/blog/when-to-see-a-gp-online-vs-in-person,True,,,,
563,/post/sick-certificate-ireland-employee-rights,/ireland/en/blog/sick-certificate-ireland-employee-rights,True,,,,
564,/post/:slug,/ireland/en/blog,True,,,,
565,/:locale(cs|es|pt|ro)/post/:slug,/ireland/en/blog,True,,,,
566,/blog/categories/:slug,/ireland/en/blog,True,,,,
567,/about,/ireland/en/about,True,,,,
568,/faq,/ireland/en/faq,True,,,,
569,/blog,/ireland/en/blog,True,,,,
570,/blog/page/:n,/ireland/en/blog,True,,,,
