dropped_url_id,merged_into,raw_url_before
U000544,U000543,"/cs/ireland-doctors/dr-fahad-farooq,0,1,0,5,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000545,U000543,"/cs/ireland-doctors/dr-fahad-farooq,0,3,0,4,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000546,U000543,"/cs/ireland-doctors/dr-fahad-farooq,0,4,0,6.75,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000547,U000543,"/cs/ireland-doctors/dr-fahad-farooq,1,3,0.3333333333333333,62.333333333333336,post_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000548,U000543,"/cs/ireland-doctors/dr-fahad-farooq,1,4,0.25,7.25,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000549,U000543,"/cs/ireland-doctors/dr-fahad-farooq,cze,0,1,0,1,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000550,U000543,"/cs/ireland-doctors/dr-fahad-farooq,irl,0,2,0,6,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000552,U000551,"/cs/ireland-doctors/dr-fatima-ali,0,1,0,15,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000553,U000551,"/cs/ireland-doctors/dr-fatima-ali,0,1,0,7,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000554,U000551,"/cs/ireland-doctors/dr-fatima-ali,0,3,0,5,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000555,U000551,"/cs/ireland-doctors/dr-fatima-ali,cze,0,1,0,8,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
