"source_domain","source_batch","keyword","detected_language","search_volume","keyword_difficulty","cpc_eur","competition","intent","trend","serp_features","position","ranking_url","estimated_traffic","collected_at"
"myglobalhealth.online","pt_ranked_myglobalhealth.online_0","medico de familia","es","590","0","2.930000066757202","0.1899999976158142","informational","[{""year"":2026,""month"":6,""search_volume"":590},{""year"":2026,""month"":5,""search_volume"":880},{""year"":2026,""month"":4,""search_volume"":720},{""year"":2026,""month"":3,""search_volume"":1300},{""year"":2026,""month"":2,""search_volume"":590},{""year"":2026,""month"":1,""search_volume"":720},{""year"":2025,""month"":12,""search_volume"":480},{""year"":2025,""month"":11,""search_volume"":590},{""year"":2025,""month"":10,""search_volume"":480},{""year"":2025,""month"":9,""search_volume"":390},{""year"":2025,""month"":8,""search_volume"":480},{""year"":2025,""month"":7,""search_volume"":590}]","ai_overview|organic|people_also_ask|video|related_searches|images","70","https://www.myglobalhealth.online/portugal/pt/services/family-and-general-medicine","1.2389999628067017","2026-08-31"
"myglobalhealth.online","pt_ranked_myglobalhealth.online_0","private clinic near me","en","140","0","2.940000057220459","0.4399999976158142","commercial","[{""year"":2026,""month"":7,""search_volume"":140},{""year"":2026,""month"":6,""search_volume"":110},{""year"":2026,""month"":5,""search_volume"":110},{""year"":2026,""month"":4,""search_volume"":140},{""year"":2026,""month"":3,""search_volume"":110},{""year"":2026,""month"":2,""search_volume"":110},{""year"":2026,""month"":1,""search_volume"":90},{""year"":2025,""month"":12,""search_volume"":170},{""year"":2025,""month"":11,""search_volume"":90},{""year"":2025,""month"":10,""search_volume"":170},{""year"":2025,""month"":9,""search_volume"":140},{""year"":2025,""month"":8,""search_volume"":210}]","local_pack|compare_sites|organic|people_also_ask|related_searches","35","https://www.myglobalhealth.online/pt","1.0499999523162842","2026-08-31"
"myglobalhealth.online","pt_ranked_myglobalhealth.online_0","atestado médico imt","es","320","0","4.179999828338623","0.7799999713897705","informational","[{""year"":2026,""month"":7,""search_volume"":390},{""year"":2026,""month"":6,""search_volume"":320},{""year"":2026,""month"":5,""search_volume"":320},{""year"":2026,""month"":4,""search_volume"":320},{""year"":2026,""month"":3,""search_volume"":390},{""year"":2026,""month"":2,""search_volume"":320},{""year"":2026,""month"":1,""search_volume"":390},{""year"":2025,""month"":12,""search_volume"":210},{""year"":2025,""month"":11,""search_volume"":320},{""year"":2025,""month"":10,""search_volume"":390},{""year"":2025,""month"":9,""search_volume"":390},{""year"":2025,""month"":8,""search_volume"":480}]","ai_overview|organic|people_also_ask|related_searches|images","33","https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao","0.671999990940094","2026-08-31"
"myglobalhealth.online","pt_ranked_myglobalhealth.online_0","pressao arterial tabela","en","260","0","","0.009999999776482582","informational","[{""year"":2026,""month"":7,""search_volume"":140},{""year"":2026,""month"":6,""search_volume"":210},{""year"":2026,""month"":5,""search_volume"":210},{""year"":2026,""month"":4,""search_volume"":170},{""year"":2026,""month"":3,""search_volume"":260},{""year"":2026,""month"":2,""search_volume"":260},{""year"":2026,""month"":1,""search_volume"":260},{""year"":2025,""month"":12,""search_volume"":210},{""year"":2025,""month"":11,""search_volume"":260},{""year"":2025,""month"":10,""search_volume"":320},{""year"":2025,""month"":9,""search_volume"":320},{""year"":2025,""month"":8,""search_volume"":260}]","images|organic|video|related_searches","49","https://www.myglobalhealth.online/portugal/pt/tools/blood-pressure-chart","0.5460000038146973","2026-08-31"
"myglobalhealth.online","pt_ranked_myglobalhealth.online_0","tabela da pressão arterial","pt","260","0","","0.009999999776482582","navigational","[{""year"":2026,""month"":7,""search_volume"":140},{""year"":2026,""month"":6,""search_volume"":210},{""year"":2026,""month"":5,""search_volume"":210},{""year"":2026,""month"":4,""search_volume"":170},{""year"":2026,""month"":3,""search_volume"":260},{""year"":2026,""month"":2,""search_volume"":260},{""year"":2026,""month"":1,""search_volume"":260},{""year"":2025,""month"":12,""search_volume"":210},{""year"":2025,""month"":11,""search_volume"":260},{""year"":2025,""month"":10,""search_volume"":320},{""year"":2025,""month"":9,""search_volume"":320},{""year"":2025,""month"":8,""search_volume"":260}]","images|organic|people_also_ask|video|related_searches","37","https://www.myglobalhealth.online/portugal/pt/tools/blood-pressure-chart","0.5460000038146973","2026-08-31"
"myglobalhealth.online","pt_ranked_myglobalhealth.online_0","exame médico imt","es","210","0","5.309999942779541","0.75","informational","[{""year"":2026,""month"":6,""search_volume"":170},{""year"":2026,""month"":5,""search_volume"":170},{""year"":2026,""month"":4,""search_volume"":140},{""year"":2026,""month"":3,""search_volume"":140},{""year"":2026,""month"":2,""search_volume"":140},{""year"":2026,""month"":1,""search_volume"":170},{""year"":2025,""month"":12,""search_volume"":170},{""year"":2025,""month"":11,""search_volume"":260},{""year"":2025,""month"":10,""search_volume"":260},{""year"":2025,""month"":9,""search_volume"":210},{""year"":2025,""month"":8,""search_volume"":260},{""year"":2025,""month"":7,""search_volume"":390}]","ai_overview|organic|people_also_ask|related_searches","33","https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao","0.4410000145435333","2026-08-31"
"myglobalhealth.online","pt_ranked_myglobalhealth.online_0","globalmed","en","210","0","","0","informational","[{""year"":2026,""month"":6,""search_volume"":210},{""year"":2026,""month"":5,""search_volume"":210},{""year"":2026,""month"":4,""search_volume"":210},{""year"":2026,""month"":3,""search_volume"":210},{""year"":2026,""month"":2,""search_volume"":210},{""year"":2026,""month"":1,""search_volume"":260},{""year"":2025,""month"":12,""search_volume"":170},{""year"":2025,""month"":11,""search_volume"":210},{""year"":2025,""month"":10,""search_volume"":210},{""year"":2025,""month"":9,""search_volume"":210},{""year"":2025,""month"":8,""search_volume"":170},{""year"":2025,""month"":7,""search_volume"":260}]","organic|related_searches|knowledge_graph|google_reviews|third_party_reviews|images","76","https://www.myglobalhealth.online/es/home-pt","0.4410000145435333","2026-08-31"
"myglobalhealth.online","pt_ranked_myglobalhealth.online_0","saúde global","pt","170","0","","0.009999999776482582","informational","[{""year"":2026,""month"":6,""search_volume"":260},{""year"":2026,""month"":5,""search_volume"":210},{""year"":2026,""month"":4,""search_volume"":210},{""year"":2026,""month"":3,""search_volume"":170},{""year"":2026,""month"":2,""search_volume"":210},{""year"":2026,""month"":1,""search_volume"":140},{""year"":2025,""month"":12,""search_volume"":110},{""year"":2025,""month"":11,""search_volume"":170},{""year"":2025,""month"":10,""search_volume"":140},{""year"":2025,""month"":9,""search_volume"":170},{""year"":2025,""month"":8,""search_volume"":110},{""year"":2025,""month"":7,""search_volume"":170}]","organic|compare_sites|local_pack|images|related_searches","37","https://www.myglobalhealth.online/pt/home-pt","0.3569999933242798","2026-08-31"
"myglobalhealth.online","pt_ranked_myglobalhealth.online_0","globalmed serviços de saúde lda","pt","140","0","","0.029999999329447746","navigational","[{""year"":2026,""month"":7,""search_volume"":140},{""year"":2026,""month"":6,""search_volume"":110},{""year"":2026,""month"":5,""search_volume"":110},{""year"":2026,""month"":4,""search_volume"":140},{""year"":2026,""month"":3,""search_volume"":110},{""year"":2026,""month"":2,""search_volume"":140},{""year"":2026,""month"":1,""search_volume"":210},{""year"":2025,""month"":12,""search_volume"":140},{""year"":2025,""month"":11,""search_volume"":140},{""year"":2025,""month"":10,""search_volume"":140},{""year"":2025,""month"":9,""search_volume"":140},{""year"":2025,""month"":8,""search_volume"":110}]","organic|related_searches|knowledge_graph|google_reviews|third_party_reviews","60","https://www.myglobalhealth.online/pt/specialty-pt","0.2939999997615814","2026-08-31"
"dronline.pt","pt_ranked_dronline.pt_0","atestado medico","pt","3600","0","2.4600000381469727","0.5","informational","[{""year"":2026,""month"":6,""search_volume"":2400},{""year"":2026,""month"":5,""search_volume"":2400},{""year"":2026,""month"":4,""search_volume"":2400},{""year"":2026,""month"":3,""search_volume"":12100},{""year"":2026,""month"":2,""search_volume"":1900},{""year"":2026,""month"":1,""search_volume"":2900},{""year"":2025,""month"":12,""search_volume"":1900},{""year"":2025,""month"":11,""search_volume"":1900},{""year"":2025,""month"":10,""search_volume"":2400},{""year"":2025,""month"":9,""search_volume"":2400},{""year"":2025,""month"":8,""search_volume"":1900},{""year"":2025,""month"":7,""search_volume"":4400}]","ai_overview|organic|people_also_ask|images|related_searches|knowledge_graph","2","https://dronline.pt/atestados-medicos/","1094.4000244140625","2026-08-31"
