"query","page","clicks","impressions","ctr","position","start_date","end_date"
"atestado médico","https://www.myglobalhealth.online/portugal/es/health/atestado-medico-online","0","14","0","56.285714285714285","2026-05-31","2026-08-28"
"atestado médico","https://www.myglobalhealth.online/portugal/pt/health/atestado-medico-online","0","4","0","58","2026-05-31","2026-08-28"
"atestado médico","https://www.myglobalhealth.online/portugal/pt/services/certificados-medicos","0","2","0","53.5","2026-05-31","2026-08-28"
"atestado médico","https://www.myglobalhealth.online/spain/pt/services/justificante-medico-online","0","3","0","31.333333333333332","2026-05-31","2026-08-28"
"atestado médico carta de condução","https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao","0","5","0","43.2","2026-05-31","2026-08-28"
"atestado médico eletrónico","https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao","0","2","0","37","2026-05-31","2026-08-28"
"atestado médico eletrónico imt","https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao","0","3","0","34","2026-05-31","2026-08-28"
"atestado médico imt","https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao","0","2","0","29","2026-05-31","2026-08-28"
"atestado médico on line","https://www.myglobalhealth.online/portugal/pt/health/atestado-medico-online","0","1","0","8","2026-05-31","2026-08-28"
"atestado médico online","https://www.myglobalhealth.online/portugal/pt/health/atestado-medico-online","0","8","0","19.375","2026-05-31","2026-08-28"
"atestado médico online","https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao","0","1","0","1","2026-05-31","2026-08-28"
"atestado médico online","https://www.myglobalhealth.online/portugal/pt/services/certificados-medicos","0","1","0","25","2026-05-31","2026-08-28"
"atestado médico online","https://www.myglobalhealth.online/portugal/ro/health/atestado-medico-online","0","1","0","23","2026-05-31","2026-08-28"
"atestado médico online","https://www.myglobalhealth.online/spain/pt/services/justificante-medico-online","0","1","0","40","2026-05-31","2026-08-28"
"atestado médico para carta de condução","https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao","0","34","0","38.411764705882355","2026-05-31","2026-08-28"
"atestado on line","https://www.myglobalhealth.online/portugal/pt/health/atestado-medico-online","0","1","0","9","2026-05-31","2026-08-28"
"atestado online","https://www.myglobalhealth.online/portugal/es/health/atestado-medico-online","0","2","0","10","2026-05-31","2026-08-28"
"atestado online","https://www.myglobalhealth.online/portugal/pt/health/atestado-medico-online","0","3","0","10.666666666666666","2026-05-31","2026-08-28"
"atestado online","https://www.myglobalhealth.online/portugal/ro/health/atestado-medico-online","0","4","0","9.5","2026-05-31","2026-08-28"
"atestado para carta de condução","https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao","0","2","0","52","2026-05-31","2026-08-28"
"atestado para carta de condução online","https://www.myglobalhealth.online/portugal/pt/health/atestado-medico-online","0","1","0","4","2026-05-31","2026-08-28"
"atestado.medico online","https://www.myglobalhealth.online/portugal/pt/health/atestado-medico-online","0","1","0","11","2026-05-31","2026-08-28"
"atestados carta de condução","https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao","0","2","0","50","2026-05-31","2026-08-28"
"atestados medico","https://www.myglobalhealth.online/portugal/pt/health/atestado-medico-online","0","1","0","58","2026-05-31","2026-08-28"
"atestados medicos","https://www.myglobalhealth.online/portugal/es/health/atestado-medico-online","0","1","0","55","2026-05-31","2026-08-28"
"atestados medicos","https://www.myglobalhealth.online/portugal/pt/services/certificados-medicos","0","1","0","29","2026-05-31","2026-08-28"
"atestados medicos","https://www.myglobalhealth.online/portugal/ro/health/atestado-medico-online","0","1","0","59","2026-05-31","2026-08-28"
"atestados medicos","https://www.myglobalhealth.online/spain/pt/services/justificante-medico-online","0","1","0","35","2026-05-31","2026-08-28"
"atestados medicos carta condução","https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao","0","1","0","53","2026-05-31","2026-08-28"
"atestados medicos online","https://www.myglobalhealth.online/portugal/es/health/atestado-medico-online","0","4","0","10.75","2026-05-31","2026-08-28"
