"query","clicks","impressions","ctr","position","start_date","end_date"
"global clinica","0","2","0","7","2026-05-31","2026-08-28"
"global doctor","0","1","0","4","2026-05-31","2026-08-28"
"global health and medicine","0","1","0","3","2026-05-31","2026-08-28"
"global health care","0","6","0","7.5","2026-05-31","2026-08-28"
"global health center","0","1","0","8","2026-05-31","2026-08-28"
"global health company","0","26","0","6.961538461538462","2026-05-31","2026-08-28"
"global health foyer","0","1","0","2","2026-05-31","2026-08-28"
"global health testing","0","1","0","29","2026-05-31","2026-08-28"
"global healthcare","0","2","0","21","2026-05-31","2026-08-28"
"global heath","0","1","0","1","2026-05-31","2026-08-28"
"global helath","0","1","0","5","2026-05-31","2026-08-28"
"global helth","0","1","0","4","2026-05-31","2026-08-28"
"global medic","0","4","0","7.75","2026-05-31","2026-08-28"
"global medical","0","4","0","8.75","2026-05-31","2026-08-28"
"global medical center","0","1","0","2","2026-05-31","2026-08-28"
"global medical health","0","2","0","9","2026-05-31","2026-08-28"
"global medico","0","1","0","1","2026-05-31","2026-08-28"
"global médica","0","2","0","10","2026-05-31","2026-08-28"
"global saude","0","10","0","26","2026-05-31","2026-08-28"
"global saúde","0","1","0","12","2026-05-31","2026-08-28"
"globalcare cuidados médicos lda","0","30","0","36.7","2026-05-31","2026-08-28"
"globalhc","0","1","0","4","2026-05-31","2026-08-28"
"globalhealth.com","0","1","0","5","2026-05-31","2026-08-28"
"globalmed","0","2","0","64.5","2026-05-31","2026-08-28"
"globalmedica","0","1","0","2","2026-05-31","2026-08-28"
"golbal health","0","1","0","8","2026-05-31","2026-08-28"
"gp appointment","0","1","0","12","2026-05-31","2026-08-28"
"gp book appointment","0","2","0","14","2026-05-31","2026-08-28"
"gp book appointment online","0","1","0","8","2026-05-31","2026-08-28"
"gp booking","0","1","0","6","2026-05-31","2026-08-28"
"gp consultation","0","1","0","7","2026-05-31","2026-08-28"
"gp consultation fee","0","1","0","10","2026-05-31","2026-08-28"
"gp doctor","0","3","0","25.666666666666668","2026-05-31","2026-08-28"
"gp medical","0","1","0","5","2026-05-31","2026-08-28"
"gp near me","0","3","0","8","2026-05-31","2026-08-28"
"gp online","0","4","0","3.5","2026-05-31","2026-08-28"
"gp online appointment","0","2","0","6","2026-05-31","2026-08-28"
"gp surgery near me","0","1","0","4","2026-05-31","2026-08-28"
"gp visit","0","1","0","8","2026-05-31","2026-08-28"
"group 2 licence portugal","0","2","0","1","2026-05-31","2026-08-28"
"group 2 medical certificate","0","2","0","8.5","2026-05-31","2026-08-28"
"group 3","0","1","0","5","2026-05-31","2026-08-28"
"health","0","30","0","20.966666666666665","2026-05-31","2026-08-28"
"health clinic","0","2","0","14","2026-05-31","2026-08-28"
"health clinic near me","0","3","0","23.666666666666668","2026-05-31","2026-08-28"
"health doctors near me","0","3","0","18.666666666666668","2026-05-31","2026-08-28"
"health online","0","1","0","8","2026-05-31","2026-08-28"
"health.","0","1","0","11","2026-05-31","2026-08-28"
"healthcare","0","34","0","73.29411764705883","2026-05-31","2026-08-28"
"healthy online","0","2","0","3.5","2026-05-31","2026-08-28"
"hemocromatose diagnóstico","0","2","0","74.5","2026-05-31","2026-08-28"
"hormonal feminino","0","1","0","78","2026-05-31","2026-08-28"
"hospital fernando pessoa","0","1","0","6","2026-05-31","2026-08-28"
"hse due date calculator","0","1","0","8","2026-05-31","2026-08-28"
"hugo pais","0","3","0","25.333333333333332","2026-05-31","2026-08-28"
"i may have diabetes","0","1","0","1","2026-05-31","2026-08-28"
"illness benefit ireland","0","1","0","8","2026-05-31","2026-08-28"
"imc","0","2","0","56","2026-05-31","2026-08-28"
"imc calculadora","0","1","0","51","2026-05-31","2026-08-28"
"imc calculadora homem","0","1","0","54","2026-05-31","2026-08-28"
"imc calculadora peso ideal","0","1","0","73","2026-05-31","2026-08-28"
"imc calculadora pt","0","1","0","47","2026-05-31","2026-08-28"
"imc calcular","0","2","0","59","2026-05-31","2026-08-28"
"imc calcular online","0","1","0","45","2026-05-31","2026-08-28"
"imc calculo","0","2","0","62.5","2026-05-31","2026-08-28"
"imc calculo feminino","0","1","0","63","2026-05-31","2026-08-28"
"imc calculo homem","0","1","0","55","2026-05-31","2026-08-28"
"imc calculo peso ideal","0","1","0","62","2026-05-31","2026-08-28"
"imc como calcular","0","1","0","62","2026-05-31","2026-08-28"
"imc corporal","0","1","0","78","2026-05-31","2026-08-28"
"imc escala","0","1","0","33","2026-05-31","2026-08-28"
"imc feminino","0","1","0","65","2026-05-31","2026-08-28"
"imc medir","0","1","0","53","2026-05-31","2026-08-28"
"imc mulher","0","1","0","66","2026-05-31","2026-08-28"
"imc obesidade","0","1","0","78","2026-05-31","2026-08-28"
"imc online","0","1","0","37","2026-05-31","2026-08-28"
"imc saudavel","0","1","0","46","2026-05-31","2026-08-28"
"imc unidades","0","2","0","47","2026-05-31","2026-08-28"
"imt atestado medico","0","1","0","27","2026-05-31","2026-08-28"
"indice de masa corporal","0","1","0","34","2026-05-31","2026-08-28"
"indice de massa corporal","0","2","0","75.5","2026-05-31","2026-08-28"
"indice de massa corporal mulher","0","1","0","74","2026-05-31","2026-08-28"
"indice imc","0","1","0","75","2026-05-31","2026-08-28"
"indice massa corporal","0","1","0","73","2026-05-31","2026-08-28"
"indice massa corporal calculo","0","2","0","58","2026-05-31","2026-08-28"
"infecção respiratória","0","27","0","81.4074074074074","2026-05-31","2026-08-28"
"infeção respiratória","0","45","0","70.31111111111112","2026-05-31","2026-08-28"
"informação medica confiável","0","1","0","30","2026-05-31","2026-08-28"
"internal medicine doctors near me","0","2","0","8","2026-05-31","2026-08-28"
"international doctor spain","0","2","0","9.5","2026-05-31","2026-08-28"
"international vaccination center","0","3","0","7","2026-05-31","2026-08-28"
"intolerancia a lactose exame","0","1","0","62","2026-05-31","2026-08-28"
"ja","0","1","0","9","2026-05-31","2026-08-28"
"justificação medica","0","1","0","22","2026-05-31","2026-08-28"
"justificação médica online","0","1","0","8","2026-05-31","2026-08-28"
"ler ecg","0","1","0","11","2026-05-31","2026-08-28"
"local general practitioner","0","1","0","21","2026-05-31","2026-08-28"
"local physician","0","1","0","21","2026-05-31","2026-08-28"
"looking for a doctor near me","0","1","0","7","2026-05-31","2026-08-28"
"looking for primary care physician near me","0","2","0","16.5","2026-05-31","2026-08-28"
"marcar consulta do viajante online","0","2","0","86","2026-05-31","2026-08-28"
"marcar consulta viajante","0","1","0","77","2026-05-31","2026-08-28"
"marcar consultas médicas online","0","5","0","79.6","2026-05-31","2026-08-28"
"marcação consulta do viajante","0","1","0","87","2026-05-31","2026-08-28"
"margarida andrade","0","2","0","16","2026-05-31","2026-08-28"
"massa corporal calcular","0","1","0","65","2026-05-31","2026-08-28"
"medecin autour de moi","0","1","0","5","2026-05-31","2026-08-28"
"medi cine online","0","1","0","9","2026-05-31","2026-08-28"
"medica geral","0","1","0","8","2026-05-31","2026-08-28"
"medical","0","1","0","57","2026-05-31","2026-08-28"
"medical care certificate","0","1","0","1","2026-05-31","2026-08-28"
"medical centre near me","0","2","0","8","2026-05-31","2026-08-28"
"medical certificate","0","2","0","12.5","2026-05-31","2026-08-28"
"medical certificate for illness","0","1","0","6","2026-05-31","2026-08-28"
"medical clinic near me","0","8","0","11.375","2026-05-31","2026-08-28"
"medical doctor","0","2","0","5.5","2026-05-31","2026-08-28"
"medical doctors near me","0","1","0","12","2026-05-31","2026-08-28"
"medical doctors near me accepting new patients","0","3","0","18.333333333333332","2026-05-31","2026-08-28"
"medical emergency number","0","1","0","10","2026-05-31","2026-08-28"
"medical for driving licence near me","0","1","0","22","2026-05-31","2026-08-28"
"medical general practitioner","0","1","0","6","2026-05-31","2026-08-28"
"medical global","0","1","0","8","2026-05-31","2026-08-28"
"medical group","0","1","0","1","2026-05-31","2026-08-28"
"medical online","0","2","0","5.5","2026-05-31","2026-08-28"
"medical online consultation","0","1","0","10","2026-05-31","2026-08-28"
"medical test for driving license","0","1","0","18","2026-05-31","2026-08-28"
"medicas espanha","0","2","0","8","2026-05-31","2026-08-28"
"medicina familiar","0","3","0","50.333333333333336","2026-05-31","2026-08-28"
"medicina geral","0","5","0","61.6","2026-05-31","2026-08-28"
"medicina global","0","2","0","2.5","2026-05-31","2026-08-28"
"medicina online","0","3","0","52.333333333333336","2026-05-31","2026-08-28"
"medicina online brasil","0","2","0","8","2026-05-31","2026-08-28"
"medicine global","0","2","0","4.5","2026-05-31","2026-08-28"
"medicine online","0","1","0","5","2026-05-31","2026-08-28"
"medico 24h","0","2","0","33","2026-05-31","2026-08-28"
"medico cerca de mi","0","1","0","10","2026-05-31","2026-08-28"
"medico cerca de mi abierto ahora","0","1","0","7","2026-05-31","2026-08-28"
"medico de familia","0","2","0","63","2026-05-31","2026-08-28"
"medico generalista","0","1","0","55","2026-05-31","2026-08-28"
"medico online","0","12","0","69.5","2026-05-31","2026-08-28"
"medico online atestado","0","2","0","10","2026-05-31","2026-08-28"
"medico online consulta","0","1","0","63","2026-05-31","2026-08-28"
"medico online portugal","0","92","0","36.90217391304348","2026-05-31","2026-08-28"
"medicoonline","0","5","0","7.8","2026-05-31","2026-08-28"
"medicos em portugal","0","1","0","27","2026-05-31","2026-08-28"
"medicos online","0","15","0","58.2","2026-05-31","2026-08-28"
"medicos registados","0","8","0","10.25","2026-05-31","2026-08-28"
"medidas normales de tension","0","1","0","11","2026-05-31","2026-08-28"
"medidor de calorias","0","1","0","34","2026-05-31","2026-08-28"
"medidor de colesterol caseiro","0","1","0","42","2026-05-31","2026-08-28"
"medidor de imc","0","1","0","46","2026-05-31","2026-08-28"
"medidor de peso","0","1","0","46","2026-05-31","2026-08-28"
"mediglobal","0","3","0","8.333333333333332","2026-05-31","2026-08-28"
"medir a tensão valores","0","1","0","19","2026-05-31","2026-08-28"
"medir imc","0","1","0","65","2026-05-31","2026-08-28"
"medis consulta do viajante","0","12","0","53.833333333333336","2026-05-31","2026-08-28"
"medis consulta viajante","0","6","0","54.333333333333336","2026-05-31","2026-08-28"
"melhor oncologista de portugal","0","14","0","11.785714285714286","2026-05-31","2026-08-28"
"mohammad arain","0","1","0","8","2026-05-31","2026-08-28"
"multibeauty","0","1","0","9","2026-05-31","2026-08-28"
"my health","0","2","0","24.5","2026-05-31","2026-08-28"
"my medical certificate online","0","1","0","6","2026-05-31","2026-08-28"
"my online health","0","1","0","3","2026-05-31","2026-08-28"
"myhealth","0","1","0","22","2026-05-31","2026-08-28"
"myonlinehealth","0","1","0","4","2026-05-31","2026-08-28"
"mão pé e boca","0","1","0","75","2026-05-31","2026-08-28"
"médico","0","8","0","8.375","2026-05-31","2026-08-28"
"médico clínico geral","0","2","0","6.5","2026-05-31","2026-08-28"
"médico general cerca de mi","0","1","0","5","2026-05-31","2026-08-28"
"médico global","0","1","0","2","2026-05-31","2026-08-28"
"médico online","0","54","0","59.25925925925926","2026-05-31","2026-08-28"
"médico online grátis portugal","0","1","0","21","2026-05-31","2026-08-28"
"médico online responde na hora","0","5","0","66.2","2026-05-31","2026-08-28"
"médico privado","0","1","0","3","2026-05-31","2026-08-28"
"médicos registados na ordem","0","8","0","9.625","2026-05-31","2026-08-28"
"nearby doctors office","0","2","0","17","2026-05-31","2026-08-28"
"need a doctor near me","0","4","0","24.75","2026-05-31","2026-08-28"
"niveis de tensão arterial","0","1","0","39","2026-05-31","2026-08-28"
"nutricionista online","0","1","0","73","2026-05-31","2026-08-28"
"nutricionista online portugal","0","1","0","58","2026-05-31","2026-08-28"
"não tenho atestado médico","0","1","0","5","2026-05-31","2026-08-28"
"o eletrocardiograma","0","1","0","73","2026-05-31","2026-08-28"
"o que e ecg","0","1","0","79","2026-05-31","2026-08-28"
"o que e exame ecg","0","1","0","74","2026-05-31","2026-08-28"
"o que é ecg","0","1","0","74","2026-05-31","2026-08-28"
"o que é preciso fazer?","0","1","0","2","2026-05-31","2026-08-28"
"o que é um eletrocardiograma","0","1","0","75","2026-05-31","2026-08-28"
"o'que é reembolso integral","0","2","0","8.5","2026-05-31","2026-08-28"
"obesidade imc","0","1","0","80","2026-05-31","2026-08-28"
"obter atestado medico online","0","1","0","1","2026-05-31","2026-08-28"
"oncologia médica","0","1","0","44","2026-05-31","2026-08-28"
"onde marcar consulta do viajante","0","1","0","95","2026-05-31","2026-08-28"
"online consultations","0","1","0","11","2026-05-31","2026-08-28"
"online doctor","0","1","0","52","2026-05-31","2026-08-28"
"online doctor consultations","0","1","0","27","2026-05-31","2026-08-28"
"online doctor online","0","1","0","42","2026-05-31","2026-08-28"
"online doctor portugal","0","15","0","17.6","2026-05-31","2026-08-28"
"online doctor spain english-speaking","0","1","0","11","2026-05-31","2026-08-28"
"online gp","0","1","0","5","2026-05-31","2026-08-28"
"online medical","0","1","0","7","2026-05-31","2026-08-28"
"online medical certificate portugal","0","7","0","9.285714285714286","2026-05-31","2026-08-28"
"online sick certificate","0","1","0","5","2026-05-31","2026-08-28"
"online sick leave certificate","0","1","0","4","2026-05-31","2026-08-28"
"opiniões sobre","0","1","0","2","2026-05-31","2026-08-28"
"opticalia","0","1","0","3","2026-05-31","2026-08-28"
"osentia","0","1","0","7","2026-05-31","2026-08-28"
"ovulation calculator ireland","0","1","0","9","2026-05-31","2026-08-28"
"ovulação calculadora","0","1","0","38","2026-05-31","2026-08-28"
"ovulação calcular","0","1","0","43","2026-05-31","2026-08-28"
"pais dr","0","1","0","2","2026-05-31","2026-08-28"
"pedir atestado medico","0","2","0","36","2026-05-31","2026-08-28"
"pedir atestado médico","0","7","0","42.42857142857143","2026-05-31","2026-08-28"
"pedir cita médica","0","1","0","10","2026-05-31","2026-08-28"
"periodo fertil calculadora ovulação","0","1","0","52","2026-05-31","2026-08-28"
"periodo fertil calendario","0","1","0","83","2026-05-31","2026-08-28"
"periodo fertil tabela","0","1","0","76","2026-05-31","2026-08-28"
"periodo fertil tabelinha","0","1","0","83","2026-05-31","2026-08-28"
"período fértil calculadora","0","1","0","62","2026-05-31","2026-08-28"
"peso corporal","0","1","0","68","2026-05-31","2026-08-28"
"peso por altura","0","1","0","52","2026-05-31","2026-08-28"
"pesquisa médicos","0","16","0","42.1875","2026-05-31","2026-08-28"
"pesquisar medico","0","15","0","47.13333333333333","2026-05-31","2026-08-28"
"phda adulto teste","0","1","0","10","2026-05-31","2026-08-28"
"phda teste","0","3","0","16.333333333333336","2026-05-31","2026-08-28"
"phda teste gratuito","0","1","0","4","2026-05-31","2026-08-28"
"physician near by me","0","2","0","21","2026-05-31","2026-08-28"
"pode ser online","0","1","0","4","2026-05-31","2026-08-28"
"porque sobe a tensão arterial","0","1","0","3","2026-05-31","2026-08-28"
"portogallo","0","1","0","1","2026-05-31","2026-08-28"
"prazo para entregar baixa médica","0","1","0","2","2026-05-31","2026-08-28"
"preciso de um atestado médico urgente","0","24","0","15.333333333333334","2026-05-31","2026-08-28"
"preco da carta de condução em portugal","0","1","0","1","2026-05-31","2026-08-28"
"pregnancy calculator hse","0","1","0","9","2026-05-31","2026-08-28"
"pressao arterial tabela","0","1","0","45","2026-05-31","2026-08-28"
"pressão arterial baixa tabela","0","1","0","24","2026-05-31","2026-08-28"
"pressão arterial tabela","0","1","0","18","2026-05-31","2026-08-28"
"pressão arterial tabela idade portugal","0","1","0","26","2026-05-31","2026-08-28"
"pressão arterial valores","0","1","0","56","2026-05-31","2026-08-28"
"preço consulta do viajante","0","13","0","74.15384615384616","2026-05-31","2026-08-28"
"preço consulta psiquiatra","0","1","0","15","2026-05-31","2026-08-28"
"primary care doctors near me accepting new patients","0","1","0","12","2026-05-31","2026-08-28"
"primary doctors near me","0","2","0","12","2026-05-31","2026-08-28"
"primary health physician","0","2","0","11.5","2026-05-31","2026-08-28"
"primary physicians near me","0","2","0","8.5","2026-05-31","2026-08-28"
"principais consultas","0","7","0","27.571428571428573","2026-05-31","2026-08-28"
"private clinic near me","0","3","0","9.333333333333334","2026-05-31","2026-08-28"
"private consultation","0","1","0","12","2026-05-31","2026-08-28"
"private doctor near me","0","1","0","6","2026-05-31","2026-08-28"
"private healthcare near me","0","2","0","7","2026-05-31","2026-08-28"
"psicologos em portugal","0","1","0","26","2026-05-31","2026-08-28"
"psicologos online","0","1","0","56","2026-05-31","2026-08-28"
"psicológico","0","1","0","20","2026-05-31","2026-08-28"
"psiquiatra online","0","17","0","55.05882352941177","2026-05-31","2026-08-28"
"psiquiatras online","0","1","0","66","2026-05-31","2026-08-28"
"psiquiatria adultos","0","1","0","39","2026-05-31","2026-08-28"
"psiquiatria online","0","17","0","62.8235294117647","2026-05-31","2026-08-28"
"quais os valores normais da tensão arterial","0","2","0","18","2026-05-31","2026-08-28"
"qual a tensão arterial ideal","0","1","0","28","2026-05-31","2026-08-28"
"qual a tensão arterial normal","0","1","0","32","2026-05-31","2026-08-28"
"qual o meu imc","0","1","0","45","2026-05-31","2026-08-28"
"qual o preço?","0","1","0","1","2026-05-31","2026-08-28"
"qual o valor normal da tensão arterial","0","1","0","29","2026-05-31","2026-08-28"
"qual é o mais barato","0","1","0","6","2026-05-31","2026-08-28"
"qual é o ritmo?","0","1","0","12","2026-05-31","2026-08-28"
"quantas calorias","0","1","0","52","2026-05-31","2026-08-28"
"quantas calorias devemos consumir por dia","0","1","0","62","2026-05-31","2026-08-28"
"quantas calorias devo consumir por dia","0","1","0","57","2026-05-31","2026-08-28"
"quantas calorias devo ingerir por dia calculadora","0","1","0","38","2026-05-31","2026-08-28"
"quantas calorias gastamos por dia","0","1","0","42","2026-05-31","2026-08-28"
"quantas calorias gasto por dia","0","3","0","39.333333333333336","2026-05-31","2026-08-28"
"quantas calorias ingerir por dia","0","1","0","57","2026-05-31","2026-08-28"
"quantas calorias por dia","0","1","0","46","2026-05-31","2026-08-28"
"quantas calorias tem","0","1","0","51","2026-05-31","2026-08-28"
"quantas semanas","0","1","0","73","2026-05-31","2026-08-28"
"quanto custa a carta de condução em portugal","0","1","0","1","2026-05-31","2026-08-28"
"quanto custa carta de condução em portugal","0","1","0","1","2026-05-31","2026-08-28"
"quanto custa tirar a carta de condução","0","1","0","1","2026-05-31","2026-08-28"
"quanto custa uma carta de condução em portugal","0","1","0","1","2026-05-31","2026-08-28"
"quanto vale cada quadradinho do ecg","0","1","0","11","2026-05-31","2026-08-28"
"quantos dias após a menstruação é o período fértil","0","1","0","87","2026-05-31","2026-08-28"
"quantos dias tenho para entregar a baixa à entidade patronal","0","1","0","3","2026-05-31","2026-08-28"
"quem pode passar atestado médico para carta de condução","0","1","0","47","2026-05-31","2026-08-28"
"questionario adhd","0","1","0","11","2026-05-31","2026-08-28"
"randox ireland","0","1","0","11","2026-05-31","2026-08-28"
"rastreio enxaqueca","0","1","0","27","2026-05-31","2026-08-28"
"reclamos salud","0","1","0","7","2026-05-31","2026-08-28"
"reembolso integral","0","8","0","9","2026-05-31","2026-08-28"
"registo tensão arterial","0","1","0","26","2026-05-31","2026-08-28"
"renovação carta condução a partir dos 70 anos","0","1","0","1","2026-05-31","2026-08-28"
"republica da irlanda","0","1","0","10","2026-05-31","2026-08-28"
"reviews of doctors near me","0","2","0","18.5","2026-05-31","2026-08-28"
"revisão cardiológica","0","8","0","12","2026-05-31","2026-08-28"
"rui diogo","0","1","0","17","2026-05-31","2026-08-28"
"saude global","0","5","0","15.8","2026-05-31","2026-08-28"
"saúde global","0","4","0","31.75","2026-05-31","2026-08-28"
"search doctors online","0","1","0","9","2026-05-31","2026-08-28"
"see a gp","0","1","0","1","2026-05-31","2026-08-28"
"seeing a doctor in portugal as a tourist","0","1","0","49","2026-05-31","2026-08-28"
"segurança social autodeclaração","0","1","0","6","2026-05-31","2026-08-28"
"self cert sick note","0","1","0","5","2026-05-31","2026-08-28"
"semanas de gravidez calculadora","0","1","0","63","2026-05-31","2026-08-28"
"serviços de saúde online","0","1","0","55","2026-05-31","2026-08-28"
"sick cert ireland","0","1","0","19","2026-05-31","2026-08-28"
"sick certificate","0","2","0","7","2026-05-31","2026-08-28"
"sick leave","0","5","0","22.6","2026-05-31","2026-08-28"
"sick leave portugal","0","1","0","31","2026-05-31","2026-08-28"
"sickness self certification","0","2","0","3","2026-05-31","2026-08-28"
"silves","0","1","0","3","2026-05-31","2026-08-28"
"sim","0","2","0","7.5","2026-05-31","2026-08-28"
"sim quero","0","1","0","2","2026-05-31","2026-08-28"
"sim, por favor","0","1","0","1","2026-05-31","2026-08-28"
"site médico","0","6","0","68.83333333333333","2026-05-31","2026-08-28"
"site para pegar atestado médico","0","1","0","5","2026-05-31","2026-08-28"
"sou médica","0","1","0","4","2026-05-31","2026-08-28"
"tabela da pressão arterial","0","1","0","33","2026-05-31","2026-08-28"
"tabela de imc","0","1","0","59","2026-05-31","2026-08-28"
"tabela de medição de tensão arterial","0","17","0","10.294117647058824","2026-05-31","2026-08-28"
"tabela de pressão arterial","0","1","0","16","2026-05-31","2026-08-28"
"tabela de tensao","0","1","0","8","2026-05-31","2026-08-28"
"tabela de tensão arterial","0","1","0","13","2026-05-31","2026-08-28"
"tabela do periodo fertil","0","1","0","76","2026-05-31","2026-08-28"
"tabela hipertensao","0","1","0","10","2026-05-31","2026-08-28"
"tabela imc","0","1","0","61","2026-05-31","2026-08-28"
"tabela menstruação","0","1","0","51","2026-05-31","2026-08-28"
"tabela pressão arterial","0","4","0","17.5","2026-05-31","2026-08-28"
"tabela tensão arterial","0","3","0","16","2026-05-31","2026-08-28"
"tabelinha do periodo fertil","0","1","0","82","2026-05-31","2026-08-28"
"tabelinha online","0","1","0","43","2026-05-31","2026-08-28"
"tabelinha período fértil","0","1","0","80","2026-05-31","2026-08-28"
"tabla de hipertensión arterial","0","1","0","8","2026-05-31","2026-08-28"
"taldoc","0","1","0","2","2026-05-31","2026-08-28"
"tdah teste online","0","1","0","54","2026-05-31","2026-08-28"
"telmo coelho","0","15","0","1.5333333333333332","2026-05-31","2026-08-28"
"tempo de gestação","0","1","0","71","2026-05-31","2026-08-28"
"tempo de gravidez","0","1","0","68","2026-05-31","2026-08-28"
"tempo gravidez","0","1","0","63","2026-05-31","2026-08-28"
"tenho adse","0","1","0","8","2026-05-31","2026-08-28"
"tensao arterial","0","1","0","40","2026-05-31","2026-08-28"
"tension arterial","0","1","0","11","2026-05-31","2026-08-28"
"tension arterial normal","0","3","0","9.333333333333334","2026-05-31","2026-08-28"
"tensão alta valores","0","1","0","31","2026-05-31","2026-08-28"
"tensão arterial","0","3","0","40","2026-05-31","2026-08-28"
"tensão arterial normal homem","0","1","0","38","2026-05-31","2026-08-28"
"tensão arterial normal mulher","0","2","0","45.5","2026-05-31","2026-08-28"
"tensão arterial tabela","0","3","0","12.666666666666666","2026-05-31","2026-08-28"
"tensão arterial valores","0","1","0","28","2026-05-31","2026-08-28"
"tensão normal valores","0","3","0","19.666666666666668","2026-05-31","2026-08-28"
"tensão valores","0","1","0","32","2026-05-31","2026-08-28"
"tensão valores normais","0","1","0","30","2026-05-31","2026-08-28"
"tensões","0","1","0","39","2026-05-31","2026-08-28"
"tensões normais valores","0","1","0","34","2026-05-31","2026-08-28"
"tensões valores","0","2","0","30","2026-05-31","2026-08-28"
"test medico conducir","0","2","0","13","2026-05-31","2026-08-28"
"teste adn alimentar","0","2","0","50.5","2026-05-31","2026-08-28"
"teste de fertilidade feminina","0","1","0","91","2026-05-31","2026-08-28"
"teste de intolerancia a lactose","0","2","0","62","2026-05-31","2026-08-28"
"teste genetico doença celiaca","0","10","0","14.8","2026-05-31","2026-08-28"
"teste genetico gluten","0","7","0","13.428571428571429","2026-05-31","2026-08-28"
"teste genético hemocromatose preço","0","1","0","4","2026-05-31","2026-08-28"
"teste phda","0","1","0","7","2026-05-31","2026-08-28"
"teste psa","0","1","0","17","2026-05-31","2026-08-28"
"teste tdah","0","1","0","61","2026-05-31","2026-08-28"
"teste tdah online","0","1","0","52","2026-05-31","2026-08-28"
"testes psicotécnicos para carta de condução grátis","0","1","0","1","2026-05-31","2026-08-28"
"the global health","0","1","0","5","2026-05-31","2026-08-28"
"tiago figueira","0","26","0","4.076923076923077","2026-05-31","2026-08-28"
"tomas ruiz palacios","0","1","0","7","2026-05-31","2026-08-28"
"tratamento psicológico","0","1","0","31","2026-05-31","2026-08-28"
"travel cancellation","0","1","0","4","2026-05-31","2026-08-28"
"ultima menstruação","0","1","0","48","2026-05-31","2026-08-28"
"um militar","0","1","0","6","2026-05-31","2026-08-28"
"vacinas para viajantes","0","1","0","49","2026-05-31","2026-08-28"
"valores da tensão","0","1","0","31","2026-05-31","2026-08-28"
"valores da tensão arterial","0","3","0","11.666666666666666","2026-05-31","2026-08-28"
"valores de pressão arterial","0","1","0","55","2026-05-31","2026-08-28"
"valores de tensão","0","1","0","22","2026-05-31","2026-08-28"
"valores de tensão arterial","0","1","0","35","2026-05-31","2026-08-28"
"valores de tensão arterial normal","0","1","0","33","2026-05-31","2026-08-28"
"valores de tensão normal","0","1","0","25","2026-05-31","2026-08-28"
"valores imc","0","1","0","70","2026-05-31","2026-08-28"
"valores normais de tensão","0","1","0","33","2026-05-31","2026-08-28"
"valores normais de tensão arterial","0","3","0","25.333333333333332","2026-05-31","2026-08-28"
"valores normais tensao","0","1","0","25","2026-05-31","2026-08-28"
"valores pressão arterial","0","1","0","49","2026-05-31","2026-08-28"
"valores tensao","0","1","0","32","2026-05-31","2026-08-28"
"valores tensao arterial","0","1","0","36","2026-05-31","2026-08-28"
"valores tension","0","1","0","9","2026-05-31","2026-08-28"
"valores tensão arterial normal","0","1","0","32","2026-05-31","2026-08-28"
"valores tensão arterial tabela","0","1","0","9","2026-05-31","2026-08-28"
"valores tensão normal","0","1","0","11","2026-05-31","2026-08-28"
"venerologa","0","1","0","1","2026-05-31","2026-08-28"
"ver health","0","3","0","9","2026-05-31","2026-08-28"
"victor pais","0","2","0","8.5","2026-05-31","2026-08-28"
"vitamina b12 para que serve exame","0","1","0","55","2026-05-31","2026-08-28"
"vitor pais","0","31","0","7.290322580645161","2026-05-31","2026-08-28"
"vou fazer 50 anos tenho de renovar a carta de condução","0","1","0","2","2026-05-31","2026-08-28"
"vypocet porodu","0","4","0","4","2026-05-31","2026-08-28"
"what are the charges for this","0","1","0","11","2026-05-31","2026-08-28"
"www.globalhealth","0","1","0","4","2026-05-31","2026-08-28"
"yes pleaese","0","1","0","9","2026-05-31","2026-08-28"
"yes please","0","1","0","6","2026-05-31","2026-08-28"
"ärzte allgemeinmedizin in der nähe","0","1","0","11","2026-05-31","2026-08-28"
"é grátis?","0","1","0","2","2026-05-31","2026-08-28"
"中医在线问诊 – 里斯本","0","16","0","45.8125","2026-05-31","2026-08-28"
